source_degree	target_degree	n_dwpcs_mean	n_nonzero_dwpcs_mean	dwpc_mean	nonzero_dwpc_mean	nonzero_dwpc_sd	pc_mean	dwpc_density	metric_type	metapath	n_perms	dwpc_beta	dwpc_alpha
0	28	3586	0	0				0	permuted	CbGpPWpG	200		
0	28	3586	0	0			0	0	unpermuted	CbGpPWpG			
0	29	5053	0	0				0	permuted	CbGpPWpG	200		
0	29	5053	0	0			0	0	unpermuted	CbGpPWpG			
0	30	2445	0	0				0	permuted	CbGpPWpG	200		
0	30	2445	0	0			0	0	unpermuted	CbGpPWpG			
0	31	2119	0	0				0	permuted	CbGpPWpG	200		
0	31	2119	0	0			0	0	unpermuted	CbGpPWpG			
0	32	2934	0	0				0	permuted	CbGpPWpG	200		
0	32	2934	0	0			0	0	unpermuted	CbGpPWpG			
0	33	2608	0	0				0	permuted	CbGpPWpG	200		
0	33	2608	0	0			0	0	unpermuted	CbGpPWpG			
0	34	2608	0	0				0	permuted	CbGpPWpG	200		
0	34	2608	0	0			0	0	unpermuted	CbGpPWpG			
0	35	2608	0	0				0	permuted	CbGpPWpG	200		
0	35	2608	0	0			0	0	unpermuted	CbGpPWpG			
0	36	2445	0	0				0	permuted	CbGpPWpG	200		
0	36	2445	0	0			0	0	unpermuted	CbGpPWpG			
0	37	815	0	0				0	permuted	CbGpPWpG	200		
0	37	815	0	0			0	0	unpermuted	CbGpPWpG			
0	38	1304	0	0				0	permuted	CbGpPWpG	200		
0	38	1304	0	0			0	0	unpermuted	CbGpPWpG			
0	39	1793	0	0				0	permuted	CbGpPWpG	200		
0	39	1793	0	0			0	0	unpermuted	CbGpPWpG			
0	40	1304	0	0				0	permuted	CbGpPWpG	200		
0	40	1304	0	0			0	0	unpermuted	CbGpPWpG			
0	41	1467	0	0				0	permuted	CbGpPWpG	200		
0	41	1467	0	0			0	0	unpermuted	CbGpPWpG			
0	42	1630	0	0				0	permuted	CbGpPWpG	200		
0	42	1630	0	0			0	0	unpermuted	CbGpPWpG			
0	43	2771	0	0				0	permuted	CbGpPWpG	200		
0	43	2771	0	0			0	0	unpermuted	CbGpPWpG			
0	44	3586	0	0				0	permuted	CbGpPWpG	200		
0	44	3586	0	0			0	0	unpermuted	CbGpPWpG			
0	45	3749	0	0				0	permuted	CbGpPWpG	200		
0	45	3749	0	0			0	0	unpermuted	CbGpPWpG			
0	46	1793	0	0				0	permuted	CbGpPWpG	200		
0	46	1793	0	0			0	0	unpermuted	CbGpPWpG			
0	47	3912	0	0				0	permuted	CbGpPWpG	200		
0	47	3912	0	0			0	0	unpermuted	CbGpPWpG			
0	48	3586	0	0				0	permuted	CbGpPWpG	200		
0	48	3586	0	0			0	0	unpermuted	CbGpPWpG			
0	49	1630	0	0				0	permuted	CbGpPWpG	200		
0	49	1630	0	0			0	0	unpermuted	CbGpPWpG			
0	50	1304	0	0				0	permuted	CbGpPWpG	200		
0	50	1304	0	0			0	0	unpermuted	CbGpPWpG			
0	51	2119	0	0				0	permuted	CbGpPWpG	200		
0	51	2119	0	0			0	0	unpermuted	CbGpPWpG			
0	52	2934	0	0				0	permuted	CbGpPWpG	200		
0	52	2934	0	0			0	0	unpermuted	CbGpPWpG			
0	53	1467	0	0				0	permuted	CbGpPWpG	200		
0	53	1467	0	0			0	0	unpermuted	CbGpPWpG			
0	54	1141	0	0				0	permuted	CbGpPWpG	200		
0	54	1141	0	0			0	0	unpermuted	CbGpPWpG			
0	55	1467	0	0				0	permuted	CbGpPWpG	200		
0	55	1467	0	0			0	0	unpermuted	CbGpPWpG			
0	56	978	0	0				0	permuted	CbGpPWpG	200		
0	56	978	0	0			0	0	unpermuted	CbGpPWpG			
0	57	489	0	0				0	permuted	CbGpPWpG	200		
0	57	489	0	0			0	0	unpermuted	CbGpPWpG			
0	58	815	0	0				0	permuted	CbGpPWpG	200		
0	58	815	0	0			0	0	unpermuted	CbGpPWpG			
0	59	1141	0	0				0	permuted	CbGpPWpG	200		
0	59	1141	0	0			0	0	unpermuted	CbGpPWpG			
0	60	489	0	0				0	permuted	CbGpPWpG	200		
0	60	489	0	0			0	0	unpermuted	CbGpPWpG			
0	61	652	0	0				0	permuted	CbGpPWpG	200		
0	61	652	0	0			0	0	unpermuted	CbGpPWpG			
0	62	489	0	0				0	permuted	CbGpPWpG	200		
0	62	489	0	0			0	0	unpermuted	CbGpPWpG			
0	63	326	0	0				0	permuted	CbGpPWpG	200		
0	63	326	0	0			0	0	unpermuted	CbGpPWpG			
0	64	326	0	0				0	permuted	CbGpPWpG	200		
0	64	326	0	0			0	0	unpermuted	CbGpPWpG			
0	65	489	0	0				0	permuted	CbGpPWpG	200		
0	65	489	0	0			0	0	unpermuted	CbGpPWpG			
0	66	652	0	0				0	permuted	CbGpPWpG	200		
0	66	652	0	0			0	0	unpermuted	CbGpPWpG			
0	68	815	0	0				0	permuted	CbGpPWpG	200		
0	68	815	0	0			0	0	unpermuted	CbGpPWpG			
0	69	163	0	0				0	permuted	CbGpPWpG	200		
0	69	163	0	0			0	0	unpermuted	CbGpPWpG			
0	70	652	0	0				0	permuted	CbGpPWpG	200		
0	70	652	0	0			0	0	unpermuted	CbGpPWpG			
0	71	163	0	0				0	permuted	CbGpPWpG	200		
0	71	163	0	0			0	0	unpermuted	CbGpPWpG			
0	73	489	0	0				0	permuted	CbGpPWpG	200		
0	73	489	0	0			0	0	unpermuted	CbGpPWpG			
0	75	163	0	0				0	permuted	CbGpPWpG	200		
0	75	163	0	0			0	0	unpermuted	CbGpPWpG			
0	76	652	0	0				0	permuted	CbGpPWpG	200		
0	76	652	0	0			0	0	unpermuted	CbGpPWpG			
0	78	326	0	0				0	permuted	CbGpPWpG	200		
0	78	326	0	0			0	0	unpermuted	CbGpPWpG			
0	80	326	0	0				0	permuted	CbGpPWpG	200		
0	80	326	0	0			0	0	unpermuted	CbGpPWpG			
0	81	163	0	0				0	permuted	CbGpPWpG	200		
0	81	163	0	0			0	0	unpermuted	CbGpPWpG			
0	82	326	0	0				0	permuted	CbGpPWpG	200		
0	82	326	0	0			0	0	unpermuted	CbGpPWpG			
0	83	3260	0	0				0	permuted	CbGpPWpG	200		
0	83	3260	0	0			0	0	unpermuted	CbGpPWpG			
0	84	3749	0	0				0	permuted	CbGpPWpG	200		
0	84	3749	0	0			0	0	unpermuted	CbGpPWpG			
0	85	163	0	0				0	permuted	CbGpPWpG	200		
0	85	163	0	0			0	0	unpermuted	CbGpPWpG			
0	86	815	0	0				0	permuted	CbGpPWpG	200		
0	86	815	0	0			0	0	unpermuted	CbGpPWpG			
0	88	163	0	0				0	permuted	CbGpPWpG	200		
0	88	163	0	0			0	0	unpermuted	CbGpPWpG			
0	89	163	0	0				0	permuted	CbGpPWpG	200		
0	89	163	0	0			0	0	unpermuted	CbGpPWpG			
0	90	163	0	0				0	permuted	CbGpPWpG	200		
0	90	163	0	0			0	0	unpermuted	CbGpPWpG			
0	91	163	0	0				0	permuted	CbGpPWpG	200		
0	91	163	0	0			0	0	unpermuted	CbGpPWpG			
0	92	326	0	0				0	permuted	CbGpPWpG	200		
0	92	326	0	0			0	0	unpermuted	CbGpPWpG			
0	93	163	0	0				0	permuted	CbGpPWpG	200		
0	93	163	0	0			0	0	unpermuted	CbGpPWpG			
0	95	326	0	0				0	permuted	CbGpPWpG	200		
0	95	326	0	0			0	0	unpermuted	CbGpPWpG			
0	98	326	0	0				0	permuted	CbGpPWpG	200		
0	98	326	0	0			0	0	unpermuted	CbGpPWpG			
0	101	163	0	0				0	permuted	CbGpPWpG	200		
0	101	163	0	0			0	0	unpermuted	CbGpPWpG			
0	103	326	0	0				0	permuted	CbGpPWpG	200		
0	103	326	0	0			0	0	unpermuted	CbGpPWpG			
0	104	326	0	0				0	permuted	CbGpPWpG	200		
0	104	326	0	0			0	0	unpermuted	CbGpPWpG			
0	109	163	0	0				0	permuted	CbGpPWpG	200		
0	109	163	0	0			0	0	unpermuted	CbGpPWpG			
0	110	163	0	0				0	permuted	CbGpPWpG	200		
0	110	163	0	0			0	0	unpermuted	CbGpPWpG			
0	111	163	0	0				0	permuted	CbGpPWpG	200		
0	111	163	0	0			0	0	unpermuted	CbGpPWpG			
0	113	326	0	0				0	permuted	CbGpPWpG	200		
0	113	326	0	0			0	0	unpermuted	CbGpPWpG			
0	114	326	0	0				0	permuted	CbGpPWpG	200		
0	114	326	0	0			0	0	unpermuted	CbGpPWpG			
0	115	163	0	0				0	permuted	CbGpPWpG	200		
0	115	163	0	0			0	0	unpermuted	CbGpPWpG			
0	118	163	0	0				0	permuted	CbGpPWpG	200		
0	118	163	0	0			0	0	unpermuted	CbGpPWpG			
0	119	163	0	0				0	permuted	CbGpPWpG	200		
0	119	163	0	0			0	0	unpermuted	CbGpPWpG			
0	120	163	0	0				0	permuted	CbGpPWpG	200		
0	120	163	0	0			0	0	unpermuted	CbGpPWpG			
0	122	163	0	0				0	permuted	CbGpPWpG	200		
0	122	163	0	0			0	0	unpermuted	CbGpPWpG			
0	125	163	0	0				0	permuted	CbGpPWpG	200		
0	125	163	0	0			0	0	unpermuted	CbGpPWpG			
0	126	163	0	0				0	permuted	CbGpPWpG	200		
0	126	163	0	0			0	0	unpermuted	CbGpPWpG			
0	127	326	0	0				0	permuted	CbGpPWpG	200		
0	127	326	0	0			0	0	unpermuted	CbGpPWpG			
0	133	163	0	0				0	permuted	CbGpPWpG	200		
0	133	163	0	0			0	0	unpermuted	CbGpPWpG			
0	135	163	0	0				0	permuted	CbGpPWpG	200		
0	135	163	0	0			0	0	unpermuted	CbGpPWpG			
0	136	163	0	0				0	permuted	CbGpPWpG	200		
0	136	163	0	0			0	0	unpermuted	CbGpPWpG			
0	145	163	0	0				0	permuted	CbGpPWpG	200		
0	145	163	0	0			0	0	unpermuted	CbGpPWpG			
0	150	326	0	0				0	permuted	CbGpPWpG	200		
0	150	326	0	0			0	0	unpermuted	CbGpPWpG			
0	154	163	0	0				0	permuted	CbGpPWpG	200		
0	154	163	0	0			0	0	unpermuted	CbGpPWpG			
0	156	163	0	0				0	permuted	CbGpPWpG	200		
0	156	163	0	0			0	0	unpermuted	CbGpPWpG			
0	163	163	0	0				0	permuted	CbGpPWpG	200		
0	163	163	0	0			0	0	unpermuted	CbGpPWpG			
0	173	326	0	0				0	permuted	CbGpPWpG	200		
0	173	326	0	0			0	0	unpermuted	CbGpPWpG			
0	176	163	0	0				0	permuted	CbGpPWpG	200		
0	176	163	0	0			0	0	unpermuted	CbGpPWpG			
0	189	326	0	0				0	permuted	CbGpPWpG	200		
0	189	326	0	0			0	0	unpermuted	CbGpPWpG			
0	192	163	0	0				0	permuted	CbGpPWpG	200		
0	192	163	0	0			0	0	unpermuted	CbGpPWpG			
0	204	163	0	0				0	permuted	CbGpPWpG	200		
0	204	163	0	0			0	0	unpermuted	CbGpPWpG			
0	231	163	0	0				0	permuted	CbGpPWpG	200		
0	231	163	0	0			0	0	unpermuted	CbGpPWpG			
1	0	2.0223e+06	0	0				0	permuted	CbGpPWpG	200		
1	0	2.0223e+06	0	0			0	0	unpermuted	CbGpPWpG			
1	1	1.8201e+05	9833	0.078335	1.45	1.1650317302567443		0.054024	permuted	CbGpPWpG	200	1.0683091017445656	1.5490640121187358
1	1	1.8201e+05	3604	0.064403	3.2526	1.1093431602806865	0.019801	0.019801	unpermuted	CbGpPWpG			
1	2	1.6663e+05	17024	0.12853	1.2581	1.10493323946584		0.10217	permuted	CbGpPWpG	200	1.0304926289479166	1.2964681630366803
1	2	1.6663e+05	12478	0.13524	1.8061	1.069162287617408	0.10067	0.074883	unpermuted	CbGpPWpG			
1	3	1.2337e+05	18039	0.16882	1.1546	1.0670605140796057		0.14622	permuted	CbGpPWpG	200	1.0140144527104644	1.170755991049013
1	3	1.2337e+05	14605	0.14578	1.2314	1.1443940343517385	0.12989	0.11838	unpermuted	CbGpPWpG			
1	4	2.1463e+05	40191	0.20526	1.0962	1.0424215971801252		0.18725	permuted	CbGpPWpG	200	1.0087613927459351	1.1057672075942726
1	4	2.1463e+05	37466	0.26844	1.5378	1.0900376224215733	0.34094	0.17456	unpermuted	CbGpPWpG			
1	5	1.3148e+05	29424	0.23728	1.0603	1.0273147555437987		0.22378	permuted	CbGpPWpG	200	1.0046606405125889	1.0652359839926977
1	5	1.3148e+05	23324	0.24564	1.3847	1.2302481886694658	0.28951	0.17739	unpermuted	CbGpPWpG			
1	6	1.0241e+05	26363	0.26612	1.0338	1.0159809851636645		0.25741	permuted	CbGpPWpG	200	1.001544287379231	1.0354079043605438
1	6	1.0241e+05	22456	0.28672	1.3076	1.2025674530330184	0.36649	0.21927	unpermuted	CbGpPWpG			
1	7	86190	24956	0.29353	1.0138	1.007129143049925		0.28954	permuted	CbGpPWpG	200	0.9994620251852528	1.013218058826739
1	7	86190	20795	0.30445	1.2619	1.191669654456415	0.41203	0.24127	unpermuted	CbGpPWpG			
1	8	67938	21605	0.31849	1.0015	1.0000682543777686		0.31801	permuted	CbGpPWpG	200	1.0013526105368025	1.0028439335917902
1	8	67938	18768	0.38542	1.3952	1.24784103961096	0.55596	0.27625	unpermuted	CbGpPWpG			
1	9	64051	22021	0.34118	0.99238	0.9945075843730039		0.3438	permuted	CbGpPWpG	200	1.0033712949783846	0.9957253036436875
1	9	64051	16307	0.401	1.5751	1.2989761487855498	0.61955	0.25459	unpermuted	CbGpPWpG			
1	10	49686	18305	0.36344	0.98653	0.9920722517360393		0.36841	permuted	CbGpPWpG	200	1.0023639271519444	0.9888660415327024
1	10	49686	12541	0.44201	1.7512	1.3912801588248414	0.71966	0.25241	unpermuted	CbGpPWpG			
1	11	34307	13470	0.38435	0.97891	0.9877610466651805		0.39263	permuted	CbGpPWpG	200	1.0033226782810796	0.9821663444785735
1	11	34307	8836	0.43015	1.6701	1.3631292189396085	0.67397	0.25756	unpermuted	CbGpPWpG			
1	12	30420	12578	0.40475	0.97886	0.9868100835855251		0.41349	permuted	CbGpPWpG	200	1.0052020446218108	0.9839519343191073
1	12	30420	8733	0.44237	1.5409	1.3017653827043563	0.69878	0.28708	unpermuted	CbGpPWpG			
1	13	30251	13120	0.42375	0.97701	0.9864984305847176		0.43372	permuted	CbGpPWpG	200	1.0039326609211179	0.9808485718143912
1	13	30251	7369	0.36704	1.5068	1.342902519292305	0.58656	0.2436	unpermuted	CbGpPWpG			
1	14	19435	8789.5	0.44044	0.97389	0.9843345365029056		0.45225	permuted	CbGpPWpG	200	1.0051309819571321	0.9788829537677208
1	14	19435	5962	0.41693	1.3591	1.3251752624515094	0.64039	0.30677	unpermuted	CbGpPWpG			
1	15	17069	8035.1	0.459	0.97505	0.982154812986625		0.47074	permuted	CbGpPWpG	200	1.0108047385129824	0.9855857979062734
1	15	17069	4892	0.4162	1.4522	1.4057629189913186	0.67708	0.2866	unpermuted	CbGpPWpG			
1	16	13013	6332.1	0.47491	0.97599	0.9834997630247105		0.4866	permuted	CbGpPWpG	200	1.0090099136604347	0.9847803761025723
1	16	13013	3963	0.38347	1.2592	1.176210517610734	0.62384	0.30454	unpermuted	CbGpPWpG			
1	17	9126	4570.6	0.49023	0.97882	0.9839181442463981		0.50083	permuted	CbGpPWpG	200	1.0110816866485195	0.9896700492699347
1	17	9126	2821	0.38288	1.2386	1.1935308116913121	0.5732	0.30912	unpermuted	CbGpPWpG			
1	18	9971	5142.4	0.50612	0.98135	0.9833280816966994		0.51574	permuted	CbGpPWpG	200	1.014911485158228	0.9959859638116596
1	18	9971	3384	0.41409	1.2201	1.2257462292800658	0.69512	0.33938	unpermuted	CbGpPWpG			
1	19	8619	4589.2	0.52356	0.98331	0.9848634576543641		0.53245	permuted	CbGpPWpG	200	1.013769618398635	0.9968517850045021
1	19	8619	3270	0.46031	1.2133	1.2052105875594585	0.74962	0.37939	unpermuted	CbGpPWpG			
1	20	7436	4038	0.53582	0.98671	0.9841238419903433		0.54304	permuted	CbGpPWpG	200	1.018800161374173	1.0052579514665636
1	20	7436	2382	0.41767	1.3039	1.2117202872647128	0.68935	0.32033	unpermuted	CbGpPWpG			
1	21	14196	7904.6	0.55206	0.99145	0.9844422114366729		0.55682	permuted	CbGpPWpG	200	1.023030973741732	1.0142803697513387
1	21	14196	3538	0.27985	1.1229	1.1702701035825605	0.40758	0.24923	unpermuted	CbGpPWpG			
1	22	7943	4506.2	0.56286	0.99214	0.9847514532809848		0.56732	permuted	CbGpPWpG	200	1.0231042684430727	1.0150631316543621
1	22	7943	2401	0.34225	1.1322	1.1541614814525705	0.52625	0.30228	unpermuted	CbGpPWpG			
1	23	7267	4216.9	0.57798	0.99603	0.9848557526463009		0.58029	permuted	CbGpPWpG	200	1.02690009094263	1.0228257115045263
1	23	7267	2389	0.4144	1.2605	1.2146417283018434	0.59777	0.32875	unpermuted	CbGpPWpG			
1	24	6929	4086.9	0.59107	1.0021	0.9871372471924609		0.58982	permuted	CbGpPWpG	200	1.0283941479871561	1.0305623492058362
1	24	6929	2024	0.35969	1.2314	1.1987968036486423	0.57858	0.29211	unpermuted	CbGpPWpG			
1	25	9971	5972.6	0.60223	1.0054	0.9851458077424889		0.59899	permuted	CbGpPWpG	200	1.0359427946215578	1.0415318981056323
1	25	9971	2612	0.28665	1.0942	1.1362767250124985	0.49283	0.26196	unpermuted	CbGpPWpG			
1	26	3549	2169	0.61446	1.0054	0.9866495909747844		0.61117	permuted	CbGpPWpG	200	1.032773256914094	1.038331065060877
1	26	3549	729	0.26203	1.2757	1.10295762465352	0.36489	0.20541	unpermuted	CbGpPWpG			
1	27	2873	1772.8	0.62704	1.0162	0.9897464427606675		0.61705	permuted	CbGpPWpG	200	1.0373554087969687	1.054151547119351
1	27	2873	1115	0.44641	1.1503	1.183180111573645	0.79812	0.3881	unpermuted	CbGpPWpG			
1	28	3718	2332.1	0.63718	1.0158	0.9878801047982506		0.62726	permuted	CbGpPWpG	200	1.0409049733474103	1.057378913606306
1	28	3718	1161	0.35183	1.1267	1.174356943683531	0.52905	0.31226	unpermuted	CbGpPWpG			
1	29	5239	3324.7	0.64993	1.0242	0.9882666642284353		0.6346	permuted	CbGpPWpG	200	1.0486291191713821	1.0739699235050735
1	29	5239	1234	0.241	1.0232	1.0337574575720268	0.39626	0.23554	unpermuted	CbGpPWpG			
1	30	2535	1626	0.65941	1.0281	0.9911198817208203		0.64141	permuted	CbGpPWpG	200	1.0465619006541524	1.0759255411005186
1	30	2535	975	0.43743	1.1373	1.1791836401032216	0.72465	0.38462	unpermuted	CbGpPWpG			
1	31	2197	1443.3	0.67383	1.0257	0.9869652489695657		0.65692	permuted	CbGpPWpG	200	1.0530133672575102	1.080118715895364
1	31	2197	847	0.38366	0.99516	1.093498064971253	0.6873	0.38553	unpermuted	CbGpPWpG			
1	32	3042	2008.1	0.6831	1.0348	0.989131907815758		0.66013	permuted	CbGpPWpG	200	1.0576588670094484	1.0944593930570252
1	32	3042	943	0.30073	0.97012	1.2080874817133966	0.48554	0.30999	unpermuted	CbGpPWpG			
1	33	2704	1796.8	0.69304	1.043	0.990079346866868		0.6645	permuted	CbGpPWpG	200	1.0639672559914028	1.1096768541736337
1	33	2704	800	0.33339	1.1269	1.2124224517870401	0.48854	0.29586	unpermuted	CbGpPWpG			
1	34	2704	1818.4	0.70378	1.0466	0.9946574124739112		0.67247	permuted	CbGpPWpG	200	1.0578326912164995	1.1070851250160716
1	34	2704	1024	0.35633	0.94092	1.019916202208784	0.56139	0.3787	unpermuted	CbGpPWpG			
1	35	2704	1829.4	0.71344	1.0545	0.995384313707024		0.67655	permuted	CbGpPWpG	200	1.0643342325800393	1.1223741258083009
1	35	2704	1216	0.38423	0.8544	0.9471166793353845	0.7341	0.4497	unpermuted	CbGpPWpG			
1	36	2535	1731.2	0.72116	1.056	0.9974074346522239		0.6829	permuted	CbGpPWpG	200	1.0615299081405405	1.1210104773862208
1	36	2535	1052	0.41838	1.0082	1.1207558020794905	0.79921	0.41499	unpermuted	CbGpPWpG			
1	37	845	584.35	0.73613	1.0645	0.9971177277472261		0.69154	permuted	CbGpPWpG	200	1.0706379256964058	1.1396673916515088
1	37	845	385	0.51579	1.1321	1.1530797878181611	1.1101	0.45562	unpermuted	CbGpPWpG			
1	38	1352	938.54	0.7418	1.0686	0.9989359955811653		0.69419	permuted	CbGpPWpG	200	1.070861889472373	1.1443062006697093
1	38	1352	573	0.538	1.2694	1.1223598270965287	0.9142	0.42382	unpermuted	CbGpPWpG			
1	39	1859	1305.8	0.75268	1.0716	0.9966221291858804		0.7024	permuted	CbGpPWpG	200	1.0788600662782413	1.156089051724554
1	39	1859	810	0.48978	1.1241	1.1201118114613715	0.83593	0.43572	unpermuted	CbGpPWpG			
1	40	1352	956.63	0.7608	1.0752	0.9978201976219355		0.70757	permuted	CbGpPWpG	200	1.079935779191449	1.1611823904586716
1	40	1352	578	0.33625	0.78652	0.9401740481879719	0.66494	0.42751	unpermuted	CbGpPWpG			
1	41	1521	1086	0.77225	1.0816	0.9988670086873425		0.71397	permuted	CbGpPWpG	200	1.0840771365932345	1.1725617112438294
1	41	1521	667	0.33372	0.76101	0.8224020603181397	0.72189	0.43853	unpermuted	CbGpPWpG			
1	42	1690	1213.4	0.77817	1.0839	0.9973350856864787		0.71796	permuted	CbGpPWpG	200	1.0896545464092975	1.1810271065805036
1	42	1690	670	0.34814	0.87815	0.9993063721911963	0.62012	0.39645	unpermuted	CbGpPWpG			
1	43	2873	2067.3	0.78681	1.0934	1.0010983026747087		0.71957	permuted	CbGpPWpG	200	1.0910446229564161	1.1929945966921498
1	43	2873	1398	0.25827	0.53077	0.6932929085987611	0.61608	0.4866	unpermuted	CbGpPWpG			
1	44	3718	2700.8	0.79674	1.0968	1.0021027908140903		0.72641	permuted	CbGpPWpG	200	1.0922183066818933	1.1979631143482172
1	44	3718	1539	0.31228	0.75443	0.965733185875169	0.64282	0.41393	unpermuted	CbGpPWpG			
1	45	3887	2842.4	0.80931	1.1067	0.999739976882083		0.73126	permuted	CbGpPWpG	200	1.107322036365532	1.2255245141434254
1	45	3887	1748	0.36729	0.81674	0.9614176813104727	0.76228	0.4497	unpermuted	CbGpPWpG			
1	46	1859	1365	0.81419	1.1088	1.0013535011188774		0.73427	permuted	CbGpPWpG	200	1.1058461625236216	1.2262083569623876
1	46	1859	898	0.46732	0.96743	1.0146119181423923	0.97472	0.48306	unpermuted	CbGpPWpG			
1	47	4056	3002.9	0.82139	1.1094	1.0019734235943698		0.74037	permuted	CbGpPWpG	200	1.1050682239187566	1.2260003294550803
1	47	4056	2210	0.43049	0.79008	0.8644724456651047	0.89941	0.54487	unpermuted	CbGpPWpG			
1	48	3718	2759.7	0.82956	1.1176	1.0059837878133364		0.74225	permuted	CbGpPWpG	200	1.1043775308211587	1.234289651404037
1	48	3718	1499	0.28539	0.70786	0.8803130304822784	0.63206	0.40317	unpermuted	CbGpPWpG			
1	49	1690	1257.4	0.8387	1.1272	1.0068150376845546		0.74404	permuted	CbGpPWpG	200	1.1120143523741797	1.25348797531925
1	49	1690	977	0.51431	0.88964	0.9018790256157602	1.1663	0.57811	unpermuted	CbGpPWpG			
1	50	1352	1013.5	0.84872	1.1322	1.0052122221815876		0.7496	permuted	CbGpPWpG	200	1.1205246744041366	1.2686983339183944
1	50	1352	702	0.48698	0.93788	0.9530547510556867	0.85503	0.51923	unpermuted	CbGpPWpG			
1	51	2197	1656.6	0.85766	1.1374	1.010056901479284		0.75403	permuted	CbGpPWpG	200	1.1148976397936103	1.2681238571353766
1	51	2197	1345	0.73772	1.205	1.1268594633716569	1.706	0.6122	unpermuted	CbGpPWpG			
1	52	3042	2305.1	0.8629	1.1388	1.0084197094426433		0.75774	permuted	CbGpPWpG	200	1.1198452053142274	1.2752597141440154
1	52	3042	1516	0.443	0.88891	0.9388846489356922	0.95726	0.49836	unpermuted	CbGpPWpG			
1	53	1521	1155.6	0.86812	1.1426	1.0091444903623834		0.75975	permuted	CbGpPWpG	200	1.1220229594006952	1.2820654432408225
1	53	1521	577	0.37121	0.97852	1.0075402370495379	0.68836	0.37936	unpermuted	CbGpPWpG			
