position	identifier	name
111	GO:0001530	lipopolysaccharide binding
112	GO:0001537	N-acetylgalactosamine 4-O-sulfotransferase activity
113	GO:0001540	beta-amyloid binding
114	GO:0001567	cholesterol 25-hydroxylase activity
115	GO:0001588	dopamine neurotransmitter receptor activity, coupled via Gs
116	GO:0001591	dopamine neurotransmitter receptor activity, coupled via Gi/Go
117	GO:0001594	trace-amine receptor activity
118	GO:0001595	angiotensin receptor activity
119	GO:0001601	peptide YY receptor activity
120	GO:0001602	pancreatic polypeptide receptor activity
121	GO:0001605	adrenomedullin receptor activity
122	GO:0001607	neuromedin U receptor activity
123	GO:0001608	G-protein coupled nucleotide receptor activity
124	GO:0001609	G-protein coupled adenosine receptor activity
125	GO:0001614	purinergic nucleotide receptor activity
126	GO:0001618	virus receptor activity
127	GO:0001631	cysteinyl leukotriene receptor activity
128	GO:0001632	leukotriene B4 receptor activity
129	GO:0001635	calcitonin gene-related peptide receptor activity
130	GO:0001637	G-protein coupled chemoattractant receptor activity
131	GO:0001640	adenylate cyclase inhibiting G-protein coupled glutamate receptor activity
132	GO:0001641	group II metabotropic glutamate receptor activity
133	GO:0001642	group III metabotropic glutamate receptor activity
134	GO:0001653	peptide receptor activity
135	GO:0001664	G-protein coupled receptor binding
136	GO:0001665	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity
137	GO:0001671	ATPase activator activity
138	GO:0001727	lipid kinase activity
139	GO:0001729	ceramide kinase activity
140	GO:0001730	2'-5'-oligoadenylate synthetase activity
141	GO:0001733	galactosylceramide sulfotransferase activity
142	GO:0001735	prenylcysteine oxidase activity
143	GO:0001758	retinal dehydrogenase activity
144	GO:0001784	phosphotyrosine binding
145	GO:0001785	prostaglandin J receptor activity
146	GO:0001786	phosphatidylserine binding
147	GO:0001846	opsonin binding
148	GO:0001847	opsonin receptor activity
149	GO:0001848	complement binding
150	GO:0001849	complement component C1q binding
151	GO:0001850	complement component C3a binding
152	GO:0001851	complement component C3b binding
153	GO:0001855	complement component C4b binding
154	GO:0001871	pattern binding
155	GO:0001875	lipopolysaccharide receptor activity
156	GO:0001884	pyrimidine nucleoside binding
157	GO:0001888	glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity
158	GO:0001948	glycoprotein binding
159	GO:0001965	G-protein alpha-subunit binding
160	GO:0001968	fibronectin binding
161	GO:0001972	retinoic acid binding
162	GO:0002020	protease binding
163	GO:0002039	p53 binding
164	GO:0002046	opsin binding
165	GO:0002054	nucleobase binding
166	GO:0002060	purine nucleobase binding
167	GO:0002094	polyprenyltransferase activity
168	GO:0002134	UTP binding
169	GO:0002151	G-quadruplex RNA binding
170	GO:0002161	aminoacyl-tRNA editing activity
171	GO:0002162	dystroglycan binding
172	GO:0003678	DNA helicase activity
173	GO:0003680	AT DNA binding
174	GO:0003682	chromatin binding
175	GO:0003684	damaged DNA binding
176	GO:0003688	DNA replication origin binding
177	GO:0003689	DNA clamp loader activity
178	GO:0003690	double-stranded DNA binding
179	GO:0003691	double-stranded telomeric DNA binding
180	GO:0003696	satellite DNA binding
181	GO:0003697	single-stranded DNA binding
182	GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding
183	GO:0003707	steroid hormone receptor activity
184	GO:0003708	retinoic acid receptor activity
185	GO:0003712	transcription cofactor activity
186	GO:0003713	transcription coactivator activity
187	GO:0003714	transcription corepressor activity
188	GO:0003720	telomerase activity
189	GO:0003724	RNA helicase activity
190	GO:0003725	double-stranded RNA binding
191	GO:0003726	double-stranded RNA adenosine deaminase activity
192	GO:0003727	single-stranded RNA binding
193	GO:0003729	mRNA binding
194	GO:0003730	mRNA 3'-UTR binding
195	GO:0003735	structural constituent of ribosome
196	GO:0003743	translation initiation factor activity
197	GO:0003746	translation elongation factor activity
198	GO:0003747	translation release factor activity
199	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
200	GO:0003756	protein disulfide isomerase activity
201	GO:0003774	motor activity
202	GO:0003777	microtubule motor activity
203	GO:0003779	actin binding
204	GO:0003785	actin monomer binding
205	GO:0003796	lysozyme activity
206	GO:0003810	protein-glutamine gamma-glutamyltransferase activity
207	GO:0003823	antigen binding
208	GO:0003826	alpha-ketoacid dehydrogenase activity
209	GO:0003828	alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity
210	GO:0003829	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
211	GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity
212	GO:0003835	beta-galactoside alpha-2,6-sialyltransferase activity
213	GO:0003836	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity
214	GO:0003839	gamma-glutamylcyclotransferase activity
215	GO:0003840	gamma-glutamyltransferase activity
216	GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
217	GO:0003845	11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity
218	GO:0003846	2-acylglycerol O-acyltransferase activity
219	GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity
220	GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity
221	GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity
222	GO:0003858	3-hydroxybutyrate dehydrogenase activity
223	GO:0003863	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity
224	GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity
225	GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity
226	GO:0003870	5-aminolevulinate synthase activity
227	GO:0003872	6-phosphofructokinase activity
228	GO:0003873	6-phosphofructo-2-kinase activity
229	GO:0003875	ADP-ribosylarginine hydrolase activity
230	GO:0003876	AMP deaminase activity
231	GO:0003880	protein C-terminal carboxyl O-methyltransferase activity
232	GO:0003883	CTP synthase activity
233	GO:0003884	D-amino-acid oxidase activity
234	GO:0003886	DNA (cytosine-5-)-methyltransferase activity
235	GO:0003887	DNA-directed DNA polymerase activity
236	GO:0003896	DNA primase activity
237	GO:0003899	DNA-directed RNA polymerase activity
238	GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity
239	GO:0003909	DNA ligase activity
240	GO:0003910	DNA ligase (ATP) activity
241	GO:0003916	DNA topoisomerase activity
242	GO:0003917	DNA topoisomerase type I activity
243	GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity
244	GO:0003920	GMP reductase activity
245	GO:0003923	GPI-anchor transamidase activity
246	GO:0003924	GTPase activity
247	GO:0003938	IMP dehydrogenase activity
248	GO:0003941	L-serine ammonia-lyase activity
249	GO:0003943	N-acetylgalactosamine-4-sulfatase activity
250	GO:0003945	N-acetyllactosamine synthase activity
251	GO:0003950	NAD+ ADP-ribosyltransferase activity
252	GO:0003951	NAD+ kinase activity
253	GO:0003953	NAD+ nucleosidase activity
254	GO:0003954	NADH dehydrogenase activity
255	GO:0003955	NAD(P)H dehydrogenase (quinone) activity
256	GO:0003956	NAD(P)+-protein-arginine ADP-ribosyltransferase activity
257	GO:0003958	NADPH-hemoprotein reductase activity
258	GO:0003960	NADPH:quinone reductase activity
259	GO:0003964	RNA-directed DNA polymerase activity
260	GO:0003968	RNA-directed RNA polymerase activity
261	GO:0003973	(S)-2-hydroxy-acid oxidase activity
262	GO:0003976	UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity
263	GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity
264	GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity
265	GO:0003985	acetyl-CoA C-acetyltransferase activity
266	GO:0003986	acetyl-CoA hydrolase activity
267	GO:0003987	acetate-CoA ligase activity
268	GO:0003988	acetyl-CoA C-acyltransferase activity
269	GO:0003989	acetyl-CoA carboxylase activity
270	GO:0003990	acetylcholinesterase activity
271	GO:0003993	acid phosphatase activity
272	GO:0003994	aconitate hydratase activity
273	GO:0003995	acyl-CoA dehydrogenase activity
274	GO:0003997	acyl-CoA oxidase activity
275	GO:0003998	acylphosphatase activity
276	GO:0004000	adenosine deaminase activity
277	GO:0004003	ATP-dependent DNA helicase activity
278	GO:0004004	ATP-dependent RNA helicase activity
279	GO:0004008	copper-exporting ATPase activity
280	GO:0004012	phospholipid-translocating ATPase activity
281	GO:0004016	adenylate cyclase activity
282	GO:0004017	adenylate kinase activity
283	GO:0004019	adenylosuccinate synthase activity
284	GO:0004020	adenylylsulfate kinase activity
285	GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity
286	GO:0004022	alcohol dehydrogenase (NAD) activity
287	GO:0004024	alcohol dehydrogenase activity, zinc-dependent
288	GO:0004027	alcohol sulfotransferase activity
289	GO:0004028	3-chloroallyl aldehyde dehydrogenase activity
290	GO:0004029	aldehyde dehydrogenase (NAD) activity
291	GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity
292	GO:0004031	aldehyde oxidase activity
293	GO:0004032	alditol:NADP+ 1-oxidoreductase activity
294	GO:0004033	aldo-keto reductase (NADP) activity
295	GO:0004035	alkaline phosphatase activity
296	GO:0004045	aminoacyl-tRNA hydrolase activity
297	GO:0004046	aminoacylase activity
298	GO:0004047	aminomethyltransferase activity
299	GO:0004052	arachidonate 12-lipoxygenase activity
300	GO:0004053	arginase activity
301	GO:0004060	arylamine N-acetyltransferase activity
302	GO:0004062	aryl sulfotransferase activity
303	GO:0004063	aryldialkylphosphatase activity
304	GO:0004064	arylesterase activity
305	GO:0004065	arylsulfatase activity
306	GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity
307	GO:0004067	asparaginase activity
308	GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
309	GO:0004070	aspartate carbamoyltransferase activity
310	GO:0004074	biliverdin reductase activity
311	GO:0004075	biotin carboxylase activity
312	GO:0004082	bisphosphoglycerate mutase activity
313	GO:0004083	bisphosphoglycerate 2-phosphatase activity
314	GO:0004084	branched-chain-amino-acid transaminase activity
315	GO:0004087	carbamoyl-phosphate synthase (ammonia) activity
316	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
317	GO:0004089	carbonate dehydratase activity
318	GO:0004090	carbonyl reductase (NADPH) activity
319	GO:0004095	carnitine O-palmitoyltransferase activity
320	GO:0004096	catalase activity
321	GO:0004103	choline kinase activity
322	GO:0004104	cholinesterase activity
323	GO:0004105	choline-phosphate cytidylyltransferase activity
324	GO:0004109	coproporphyrinogen oxidase activity
325	GO:0004111	creatine kinase activity
326	GO:0004112	cyclic-nucleotide phosphodiesterase activity
327	GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity
328	GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity
329	GO:0004117	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity
330	GO:0004118	cGMP-stimulated cyclic-nucleotide phosphodiesterase activity
331	GO:0004119	cGMP-inhibited cyclic-nucleotide phosphodiesterase activity
332	GO:0004126	cytidine deaminase activity
333	GO:0004127	cytidylate kinase activity
334	GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H
335	GO:0004129	cytochrome-c oxidase activity
336	GO:0004137	deoxycytidine kinase activity
337	GO:0004140	dephospho-CoA kinase activity
338	GO:0004142	diacylglycerol cholinephosphotransferase activity
339	GO:0004143	diacylglycerol kinase activity
340	GO:0004144	diacylglycerol O-acyltransferase activity
341	GO:0004145	diamine N-acetyltransferase activity
342	GO:0004146	dihydrofolate reductase activity
343	GO:0004151	dihydroorotase activity
344	GO:0004157	dihydropyrimidinase activity
345	GO:0004161	dimethylallyltranstransferase activity
346	GO:0004165	dodecenoyl-CoA delta-isomerase activity
347	GO:0004167	dopachrome isomerase activity
348	GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity
349	GO:0004174	electron-transferring-flavoprotein dehydrogenase activity
350	GO:0004175	endopeptidase activity
351	GO:0004176	ATP-dependent peptidase activity
352	GO:0004177	aminopeptidase activity
353	GO:0004180	carboxypeptidase activity
354	GO:0004181	metallocarboxypeptidase activity
355	GO:0004185	serine-type carboxypeptidase activity
356	GO:0004190	aspartic-type endopeptidase activity
357	GO:0004197	cysteine-type endopeptidase activity
358	GO:0004198	calcium-dependent cysteine-type endopeptidase activity
359	GO:0004222	metalloendopeptidase activity
360	GO:0004252	serine-type endopeptidase activity
361	GO:0004298	threonine-type endopeptidase activity
362	GO:0004300	enoyl-CoA hydratase activity
363	GO:0004301	epoxide hydrolase activity
364	GO:0004303	estradiol 17-beta-dehydrogenase activity
365	GO:0004305	ethanolamine kinase activity
366	GO:0004307	ethanolaminephosphotransferase activity
367	GO:0004308	exo-alpha-sialidase activity
368	GO:0004309	exopolyphosphatase activity
369	GO:0004311	farnesyltranstransferase activity
370	GO:0004312	fatty acid synthase activity
371	GO:0004314	[acyl-carrier-protein] S-malonyltransferase activity
372	GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
373	GO:0004320	oleoyl-[acyl-carrier-protein] hydrolase activity
374	GO:0004321	fatty-acyl-CoA synthase activity
375	GO:0004322	ferroxidase activity
376	GO:0004329	formate-tetrahydrofolate ligase activity
377	GO:0004331	fructose-2,6-bisphosphate 2-phosphatase activity
378	GO:0004332	fructose-bisphosphate aldolase activity
379	GO:0004335	galactokinase activity
380	GO:0004337	geranyltranstransferase activity
381	GO:0004340	glucokinase activity
382	GO:0004342	glucosamine-6-phosphate deaminase activity
383	GO:0004345	glucose-6-phosphate dehydrogenase activity
384	GO:0004346	glucose-6-phosphatase activity
385	GO:0004348	glucosylceramidase activity
386	GO:0004351	glutamate decarboxylase activity
387	GO:0004352	glutamate dehydrogenase (NAD+) activity
388	GO:0004353	glutamate dehydrogenase [NAD(P)+] activity
389	GO:0004356	glutamate-ammonia ligase activity
390	GO:0004357	glutamate-cysteine ligase activity
391	GO:0004359	glutaminase activity
392	GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
393	GO:0004364	glutathione transferase activity
394	GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
395	GO:0004366	glycerol-3-phosphate O-acyltransferase activity
396	GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity
397	GO:0004368	glycerol-3-phosphate dehydrogenase activity
398	GO:0004370	glycerol kinase activity
399	GO:0004372	glycine hydroxymethyltransferase activity
400	GO:0004373	glycogen (starch) synthase activity
401	GO:0004376	glycolipid mannosyltransferase activity
402	GO:0004379	glycylpeptide N-tetradecanoyltransferase activity
403	GO:0004382	guanosine-diphosphatase activity
404	GO:0004383	guanylate cyclase activity
405	GO:0004385	guanylate kinase activity
406	GO:0004386	helicase activity
407	GO:0004392	heme oxygenase (decyclizing) activity
408	GO:0004396	hexokinase activity
409	GO:0004402	histone acetyltransferase activity
410	GO:0004407	histone deacetylase activity
411	GO:0004415	hyalurononglucosaminidase activity
412	GO:0004416	hydroxyacylglutathione hydrolase activity
413	GO:0004419	hydroxymethylglutaryl-CoA lyase activity
414	GO:0004421	hydroxymethylglutaryl-CoA synthase activity
415	GO:0004427	inorganic diphosphatase activity
416	GO:0004430	1-phosphatidylinositol 4-kinase activity
417	GO:0004435	phosphatidylinositol phospholipase C activity
418	GO:0004438	phosphatidylinositol-3-phosphatase activity
419	GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
420	GO:0004441	inositol-1,4-bisphosphate 1-phosphatase activity
421	GO:0004445	inositol-polyphosphate 5-phosphatase activity
422	GO:0004448	isocitrate dehydrogenase activity
423	GO:0004449	isocitrate dehydrogenase (NAD+) activity
424	GO:0004450	isocitrate dehydrogenase (NADP+) activity
425	GO:0004452	isopentenyl-diphosphate delta-isomerase activity
426	GO:0004457	lactate dehydrogenase activity
427	GO:0004459	L-lactate dehydrogenase activity
428	GO:0004461	lactose synthase activity
429	GO:0004464	leukotriene-C4 synthase activity
430	GO:0004465	lipoprotein lipase activity
431	GO:0004466	long-chain-acyl-CoA dehydrogenase activity
432	GO:0004467	long-chain fatty acid-CoA ligase activity
433	GO:0004468	lysine N-acetyltransferase activity, acting on acetyl phosphate as donor
434	GO:0004470	malic enzyme activity
435	GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity
436	GO:0004473	malate dehydrogenase (decarboxylating) (NADP+) activity
437	GO:0004477	methenyltetrahydrofolate cyclohydrolase activity
438	GO:0004478	methionine adenosyltransferase activity
439	GO:0004483	mRNA (nucleoside-2'-O-)-methyltransferase activity
440	GO:0004485	methylcrotonoyl-CoA carboxylase activity
441	GO:0004487	methylenetetrahydrofolate dehydrogenase (NAD+) activity
442	GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity
443	GO:0004497	monooxygenase activity
444	GO:0004499	N,N-dimethylaniline monooxygenase activity
445	GO:0004505	phenylalanine 4-monooxygenase activity
446	GO:0004507	steroid 11-beta-monooxygenase activity
447	GO:0004510	tryptophan 5-monooxygenase activity
448	GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity
449	GO:0004515	nicotinate-nucleotide adenylyltransferase activity
450	GO:0004517	nitric-oxide synthase activity
451	GO:0004518	nuclease activity
452	GO:0004519	endonuclease activity
453	GO:0004520	endodeoxyribonuclease activity
454	GO:0004521	endoribonuclease activity
455	GO:0004522	ribonuclease A activity
456	GO:0004523	RNA-DNA hybrid ribonuclease activity
457	GO:0004525	ribonuclease III activity
458	GO:0004526	ribonuclease P activity
459	GO:0004527	exonuclease activity
460	GO:0004528	phosphodiesterase I activity
461	GO:0004529	exodeoxyribonuclease activity
462	GO:0004530	deoxyribonuclease I activity
463	GO:0004531	deoxyribonuclease II activity
464	GO:0004532	exoribonuclease activity
465	GO:0004535	poly(A)-specific ribonuclease activity
466	GO:0004536	deoxyribonuclease activity
467	GO:0004540	ribonuclease activity
468	GO:0004549	tRNA-specific ribonuclease activity
469	GO:0004550	nucleoside diphosphate kinase activity
470	GO:0004551	nucleotide diphosphatase activity
471	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
472	GO:0004556	alpha-amylase activity
473	GO:0004557	alpha-galactosidase activity
474	GO:0004558	alpha-1,4-glucosidase activity
475	GO:0004559	alpha-mannosidase activity
476	GO:0004560	alpha-L-fucosidase activity
477	GO:0004563	beta-N-acetylhexosaminidase activity
478	GO:0004565	beta-galactosidase activity
479	GO:0004566	beta-glucuronidase activity
480	GO:0004568	chitinase activity
481	GO:0004569	glycoprotein endo-alpha-1,2-mannosidase activity
482	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
483	GO:0004572	mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity
484	GO:0004576	oligosaccharyl transferase activity
485	GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
486	GO:0004582	dolichyl-phosphate beta-D-mannosyltransferase activity
487	GO:0004583	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity
488	GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity
489	GO:0004594	pantothenate kinase activity
490	GO:0004596	peptide alpha-N-acetyltransferase activity
491	GO:0004601	peroxidase activity
492	GO:0004602	glutathione peroxidase activity
493	GO:0004605	phosphatidate cytidylyltransferase activity
494	GO:0004609	phosphatidylserine decarboxylase activity
495	GO:0004611	phosphoenolpyruvate carboxykinase activity
496	GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity
497	GO:0004614	phosphoglucomutase activity
498	GO:0004615	phosphomannomutase activity
499	GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity
500	GO:0004618	phosphoglycerate kinase activity
501	GO:0004619	phosphoglycerate mutase activity
502	GO:0004620	phospholipase activity
503	GO:0004622	lysophospholipase activity
504	GO:0004623	phospholipase A2 activity
505	GO:0004629	phospholipase C activity
506	GO:0004630	phospholipase D activity
507	GO:0004634	phosphopyruvate hydratase activity
508	GO:0004645	phosphorylase activity
509	GO:0004647	phosphoserine phosphatase activity
510	GO:0004649	poly(ADP-ribose) glycohydrolase activity
511	GO:0004651	polynucleotide 5'-phosphatase activity
512	GO:0004652	polynucleotide adenylyltransferase activity
513	GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity
514	GO:0004656	procollagen-proline 4-dioxygenase activity
515	GO:0004657	proline dehydrogenase activity
516	GO:0004658	propionyl-CoA carboxylase activity
517	GO:0004659	prenyltransferase activity
518	GO:0004660	protein farnesyltransferase activity
519	GO:0004661	protein geranylgeranyltransferase activity
520	GO:0004662	CAAX-protein geranylgeranyltransferase activity
521	GO:0004663	Rab geranylgeranyltransferase activity
522	GO:0004666	prostaglandin-endoperoxide synthase activity
523	GO:0004667	prostaglandin-D synthase activity
524	GO:0004668	protein-arginine deiminase activity
525	GO:0004672	protein kinase activity
526	GO:0004673	protein histidine kinase activity
527	GO:0004674	protein serine/threonine kinase activity
528	GO:0004675	transmembrane receptor protein serine/threonine kinase activity
529	GO:0004677	DNA-dependent protein kinase activity
530	GO:0004679	AMP-activated protein kinase activity
531	GO:0004683	calmodulin-dependent protein kinase activity
532	GO:0004687	myosin light chain kinase activity
533	GO:0004689	phosphorylase kinase activity
534	GO:0004690	cyclic nucleotide-dependent protein kinase activity
535	GO:0004691	cAMP-dependent protein kinase activity
536	GO:0004692	cGMP-dependent protein kinase activity
537	GO:0004693	cyclin-dependent protein serine/threonine kinase activity
538	GO:0004694	eukaryotic translation initiation factor 2alpha kinase activity
539	GO:0004697	protein kinase C activity
540	GO:0004698	calcium-dependent protein kinase C activity
541	GO:0004699	calcium-independent protein kinase C activity
542	GO:0004702	receptor signaling protein serine/threonine kinase activity
543	GO:0004703	G-protein coupled receptor kinase activity
544	GO:0004704	NF-kappaB-inducing kinase activity
545	GO:0004705	JUN kinase activity
546	GO:0004706	JUN kinase kinase kinase activity
