position	identifier	name
213	D011695	Purpura, Schoenlein-Henoch
214	D011696	Purpura, Thrombocytopenic
215	D011697	Purpura, Thrombotic Thrombocytopenic
216	D011782	Quadriplegia
217	D012001	Hyperacusis
218	D012021	Reflex, Abnormal
219	D012133	Respiratory Paralysis
220	D012135	Respiratory Sounds
221	D012148	Restless Legs Syndrome
222	D012166	Retinal Hemorrhage
223	D012415	Rubinstein-Taybi Syndrome
224	D012585	Sciatica
225	D012607	Scotoma
226	D012640	Seizures
227	D012678	Sensation Disorders
228	D012817	Signs and Symptoms, Digestive
229	D012818	Signs and Symptoms, Respiratory
230	D012877	Skin Manifestations
231	D012891	Sleep Apnea Syndromes
232	D012892	Sleep Deprivation
233	D012893	Sleep Disorders
234	D012912	Sneezing
235	D012913	Snoring
236	D013009	Somnambulism
237	D013035	Spasm
238	D013064	Speech Disorders
239	D013342	Stuttering
240	D013494	Supranuclear Palsy, Progressive
241	D013575	Syncope
242	D013651	Taste Disorders
243	D013746	Tetany
244	D013851	Thinness
245	D014008	Tinea Pedis
246	D014012	Tinnitus
247	D014098	Toothache
248	D014103	Torticollis
249	D014202	Tremor
250	D014313	Trismus
251	D014474	Unconsciousness
252	D014549	Urinary Incontinence
253	D014550	Urinary Incontinence, Stress
254	D014717	Vertigo
255	D014770	Virilism
256	D014786	Vision Disorders
257	D014823	Vitreous Hemorrhage
258	D014826	Vocal Cord Paralysis
259	D014832	Voice Disorders
260	D014839	Vomiting
261	D014840	Vomiting, Anticipatory
262	D014884	Waterhouse-Friderichsen Syndrome
263	D014929	Wolfram Syndrome
264	D015160	Hydrops Fetalis
265	D015325	Pyruvate Dehydrogenase Complex Deficiency Disease
266	D015354	Vision, Low
267	D015430	Weight Gain
268	D015431	Weight Loss
269	D015518	Rett Syndrome
270	D015746	Abdominal Pain
271	D015845	Tonic Pupil
272	D015875	Anisocoria
273	D015877	Miosis
274	D015878	Mydriasis
275	D016532	Mucopolysaccharidosis II
276	D016534	Cardiac Output, High
277	D016553	Purpura, Thrombocytopenic, Idiopathic
278	D016857	Hypocapnia
279	D017109	Akathisia, Drug-Induced
280	D017116	Low Back Pain
281	D017246	Ophthalmoplegia, Chronic Progressive External
282	D017288	Pain Threshold
283	D017566	Microvascular Angina
284	D017593	Kleine-Levin Syndrome
285	D017624	WAGR Syndrome
286	D017699	Pelvic Pain
287	D017827	Machado-Joseph Disease
288	D018437	Brown-Sequard Syndrome
289	D018458	Persistent Vegetative State
290	D018476	Hypokinesia
291	D018489	Space Motion Sickness
292	D018496	Hyperoxia
293	D018589	Gastroparesis
294	D018614	Sweating Sickness
295	D018771	Arthralgia
296	D018886	Aphasia, Conduction
297	D018888	Aphasia, Primary Progressive
298	D018908	Muscle Weakness
299	D018980	Williams Syndrome
300	D019080	Cafe-au-Lait Spots
301	D019462	Syncope, Vasovagal
302	D019547	Neck Pain
303	D019569	Hemifacial Spasm
304	D019575	Blindness, Cortical
305	D019584	Hot Flashes
306	D019588	Aging, Premature
307	D019591	Pseudophakia
308	D019873	Schnitzler Syndrome
309	D019954	Neurobehavioral Manifestations
310	D020069	Shoulder Pain
311	D020078	Neurogenic Inflammation
312	D020150	Chorea Gravidarum
313	D020177	Hypersomnolence, Idiopathic
314	D020178	Sleep Disorders, Circadian Rhythm
315	D020179	Jet Lag Syndrome
316	D020181	Sleep Apnea, Obstructive
317	D020182	Sleep Apnea, Central
318	D020183	Nocturnal Paroxysmal Dystonia
319	D020184	Night Terrors
320	D020186	Sleep Bruxism
321	D020187	REM Sleep Behavior Disorder
322	D020188	Sleep Paralysis
323	D020189	Nocturnal Myoclonus Syndrome
324	D020207	Coma, Post-Head Injury
325	D020233	Gait Disorders, Neurologic
326	D020234	Gait Ataxia
327	D020235	Gait Apraxia
328	D020236	Amnesia, Transient Global
329	D020237	Alexia, Pure
330	D020238	Prosopagnosia
331	D020240	Apraxia, Ideomotor
332	D020250	Postoperative Nausea and Vomiting
333	D020270	Alcohol Withdrawal Seizures
334	D020323	Tics
335	D020324	Amnesia, Anterograde
336	D020335	Paraparesis
337	D020336	Paraparesis, Spastic
338	D020385	Myokymia
339	D020447	Parasomnias
340	D020567	Fetal Weight
341	D020754	Spinocerebellar Ataxias
342	D020757	Amaurosis Fugax
343	D020795	Photophobia
344	D020820	Dyskinesias
345	D020828	Pseudobulbar Palsy
346	D020879	Neuromuscular Manifestations
347	D020886	Somatosensory Disorders
348	D020915	Korsakoff Syndrome
349	D020919	Sleep Disorders, Intrinsic
350	D020920	Dyssomnias
351	D020921	Sleep Arousal Disorders
352	D020922	Sleep-Wake Transition Disorders
353	D020923	REM Sleep Parasomnias
354	D020924	Urological Manifestations
355	D021501	Flank Pain
356	D023341	Chills
357	D034062	Insomnia, Fatal Familial
358	D034381	Hearing Loss
359	D037061	Metatarsalgia
360	D038901	Mental Retardation, X-Linked
361	D038921	Coffin-Lowry Syndrome
362	D041781	Jaundice, Obstructive
363	D045262	Reticulocytosis
364	D046088	Hearing Loss, Unilateral
365	D046089	Hearing Loss, Mixed Conductive-Sensorineural
366	D046608	Synkinesis
367	D048949	Labor Pain
368	D048968	Morning Sickness
369	D050177	Overweight
370	D051346	Mobility Limitation
371	D051474	Neuralgia, Postherpetic
372	D052120	Glycogen Storage Disease Type IIb
373	D052245	Usher Syndromes
374	D053158	Nocturia
375	D053159	Dysuria
376	D053201	Urinary Bladder, Overactive
377	D053202	Urinary Incontinence, Urge
378	D053448	Prostatism
379	D053565	Hypercalciuria
380	D053578	Opsoclonus-Myoclonus Syndrome
381	D053584	Urinoma
382	D053591	Pain, Referred
383	D053608	Stupor
384	D053609	Lethargy
385	D054058	Acute Coronary Syndrome
386	D054062	Deaf-Blind Disorders
387	D054068	Livedo Reticularis
388	D054078	Mevalonate Kinase Deficiency
389	D054160	Systolic Murmurs
390	D054221	Classical Lissencephalies and Subcortical Band Heterotopias
391	D054546	Neuroacanthocytosis
392	D054971	Orthostatic Intolerance
393	D054972	Postural Orthostatic Tachycardia Syndrome
394	D055111	Failed Back Surgery Syndrome
395	D055154	Dysphonia
396	D055665	Purpura Fulminans
397	D055948	Sarcopenia
398	D055955	Susac Syndrome
399	D055958	Piriformis Muscle Syndrome
400	D055964	Alien Hand Syndrome
401	D056124	Slit Ventricle Syndrome
402	D056128	Obesity, Abdominal
403	D056844	Renal Colic
404	D056865	Ideal Body Weight
405	D057178	Primary Progressive Nonfluent Aphasia
406	D057768	Infantile Apparent Life-Threatening Event
407	D057774	Post-Exercise Hypotension
408	D057896	Striae Distensae
409	D058447	Eye Pain
410	D058568	Necrolytic Migratory Erythema
411	D059226	Nociceptive Pain
412	D059245	Transient Tachypnea of the Newborn
413	D059246	Tachypnea
414	D059265	Visceral Pain
415	D059350	Chronic Pain
416	D059352	Musculoskeletal Pain
417	D059373	Mastodynia
418	D059388	Pelvic Girdle Pain
419	D059390	Breakthrough Pain
420	D059411	Lower Urinary Tract Symptoms
421	D059445	Anhedonia
422	D059606	Polydipsia
423	D059607	Polydipsia, Psychogenic
424	D059787	Acute Pain
425	D060050	Angina, Stable
426	D060486	Ophthalmoplegic Migraine
427	D060545	Pudendal Neuralgia
428	D060705	Dyscalculia
429	D062026	Alice in Wonderland Syndrome
430	D062706	Prodromal Symptoms
431	D063766	Pediatric Obesity
432	D063806	Myalgia
433	D064250	Hypertriglyceridemic Waist
434	D065634	Cerebrospinal Fluid Leak
435	D065635	Benign Paroxysmal Positional Vertigo
436	D065906	Hyperlactatemia
437	D066190	Allesthesia
