compound	disease	target	associated_interactors	interactors	TP	TP + FP	precision	associated_target	upregulated_target	downregulated_target
Acetylsalicylic acid	rheumatoid arthritis	TP53	ANXA3, ETS1, MED1, PADI4, TEC, TNFAIP3	ABL1, ACTA1, ACTL6A, ADH5, AGBL2, AGO1, AGO2, AGT, AIMP2, ANG, ANK2, ANKRD2, ANXA3, ANXA7, APEX1, APOH, APTX, AR, ARID3A, ARIH2, ARL3, ASF1A, ASPM, ATF3, ATM, ATR, AURKA, AXIN1, BACH1, BAG1, BAIAP2L1, BAK1, BANP, BARD1, BBC3, BCL2, BCL2L1, BCR, BHLHE40, BLM, BMI1, BMP1, BMX, BRCA1, BRCA2, BRCC3, BRD7, BRD8, BRE, BRF1, BTBD2, BTK, BTRC, CA11, CABLES1, CABLES2, CAPN1, CARM1, CCAR1, CCDC106, CCDC8, CCL18, CCNA2, CCNG1, CCNH, CCT5, CD40LG, CDC14A, CDC14B, CDC25C, CDC42, CDK1, CDK2, CDK5, CDK7, CDK8, CDK9, CDKN1A, CDKN2A, CDKN2C, CEBPB, CEBPZ, CFLAR, CHD3, CHD8, CHEK1, CHEK2, CHUK, CITED1, COPS2, COPS3, COPS4, COPS5, COPS6, COPS7A, COPS8, COX17, CR2, CREB1, CREBBP, CRYAB, CSE1L, CSNK1A1, CSNK1D, CSNK2A1, CSNK2B, CUL4A, CUL7, CUL9, DAB2IP, DAPK1, DAPK3, DAXX, DDX17, DDX5, DHCR24, DHFR, DMTF1, DNMT1, DPH1, DUSP26, DVL2, DYNC1I1, E2F1, E4F1, EEF2, EFEMP2, EGR1, EHMT2, EIF2AK2, EIF2S2, ELL, EP300, EP400, EPHA3, ERCC2, ERCC3, ERCC6, ERH, ESR1, ETHE1, ETS1, ETS2, EZH2, FAM173A, FBXO11, FBXO42, FCAMR, FHL2, FKBP3, FOXO3, FXYD6, FXYD6-FXYD2, G3BP1, G3BP2, GADD45A, GAPDH, GFI1, GNL3, GPS1, GPS2, GPX2, GSK3B, GSTM4, GTF2H1, GTPBP4, H2AFX, HABP4, HDAC1, HDAC2, HDAC3, HDAC5, HDAC8, HECTD3, HECW1, HECW2, HIF1A, HINFP, HIPK1, HIPK2, HIPK3, HMGA1, HMGB1, HMGB2, HNF4A, HNRNPK, HNRNPUL1, HSP90AA1, HSP90AB1, HSPA1A, HSPA1B, HSPA1L, HSPA4, HSPA5, HSPA8, HSPA9, HSPB1, HTT, HUWE1, IFI16, IGF2BP1, IKBKB, ING1, ING2, ING4, ING5, INPP5E, ITCH, ITPK1, JMY, KANSL1, KAT2B, KAT5, KAT6A, KAT7, KAT8, KDM1A, KDM4D, KIAA0101, KLF4, KLF6, KMT2E, KPNA2, KPNA4, KPNB1, L3MBTL1, LAMA4, LRPPRC, MAD2L1BP, MAGEA2, MAGEA2B, MAGEB18, MAGEC2, MAGED2, MAP1B, MAP3K1, MAP9, MAPK1, MAPK10, MAPK11, MAPK14, MAPK3, MAPK8, MAPK9, MAPKAPK5, MDC1, MDH1, MDM2, MDM4, MED1, MED17, MED21, MIF, MKRN1, MNAT1, MNDA, MPHOSPH6, MRE11A, MSH2, MSL2, MSX1, MT1A, MTA1, MTA2, MTHFSD, MTOR, MUC1, MUL1, MYL9, NABP2, NAE1, NAP1L1, NCL, NCOA1, NCOA2, NCOA3, NDN, NEDD8, NFKBIA, NFYA, NFYB, NMT1, NMT2, NOC2L, NOL3, NOTCH4, NPM1, NPRL3, NQO1, NQO2, NR0B2, NR3C1, NR4A1, NTHL1, NUAK1, NUB1, NUMB, OTUB1, OTUD5, PADI4, PAFAH1B3, PAGR1, PARK7, PARP1, PBK, PCDHA4, PCNA, PDCD5, PDLIM7, PHB, PHF1, PHF20, PIAS1, PIAS2, PIAS4, PIN1, PIWIL1, PLAGL1, PLK1, PLK3, PML, PNP, POLA1, PPA1, PPARGC1A, PPIF, PPM1D, PPP1CA, PPP1CC, PPP1R13L, PPP2CA, PPP2R1A, PPP2R2A, PPP2R2B, PPP2R5C, PPP4C, PRDM2, PRIM1, PRKCA, PRKCD, PRKD1, PRKDC, PRKRA, PRKRIR, PRMT1, PSMC5, PSMD11, PSME3, PTEN, PTGS2, PTK2, PTTG1, RAB4A, RAD51, RANBP2, RAP1B, RASGRF1, RB1CC1, RBBP5, RCC1, RCHY1, RFC1, RFFL, RFWD2, RFWD3, RING1, RNF2, RNF20, RNF34, RNF38, RNF39, RNF40, RNF43, RPA1, RPL11, RPL5, RPS10, RPS27A, RPS3, RPS7, RRM2, RRM2B, RYBP, S100A1, S100A2, S100A4, S100A6, S100A8, S100B, SAE1, SAT1, SCAMP1, SERBP1, SERPINB9, SERPINH1, SET, SETD2, SETD7, SETD8, SFN, SHISA5, SIN3A, SIN3B, SIRT1, SIRT7, SMAD2, SMAD3, SMAD7, SMARCA4, SMARCB1, SMARCC1, SMARCD1, SMARCD2, SMN1, SMN2, SMYD2, SNAI1, SNRPN, SNURF, SOCS1, SOX4, SP1, SP3, SPSB1, SREBF1, SREBF2, SRSF1, SSTR3, STAT6, STK11, STK4, STRA13, STUB1, STX5, SULT1E1, SUMO1, SUMO2, SUMO3, SYVN1, TADA3, TAF1, TAF1A, TAF1B, TAF1C, TAF6, TAF9, TAF9B, TBP, TDG, TEC, TEP1, TFAP2A, TFAP2C, TFDP1, THAP8, THRB, TK1, TMEM135, TMSB4X, TNFAIP3, TOE1, TOP1, TOP2A, TOP2B, TOPORS, TP53BP1, TP53BP2, TP53I3, TP53INP1, TP53RK, TP63, TP73, TPT1, TRAPPC11, TRIAP1, TRIM24, TRIM27, TRIM28, TRIM39, TRIM8, TRMT11, TRRAP, TSC22D1, TSG101, TTK, TTLL5, TWIST1, TWIST2, TXN, UBA3, UBA52, UBB, UBC, UBD, UBE2A, UBE2D1, UBE2D2, UBE2D3, UBE2I, UBE2J1, UBE2K, UBE2M, UBE2N, UBE3A, UBR5, UCHL1, UFD1L, UHRF2, UIMC1, USP10, USP11, USP29, USP39, USP42, USP7, UTP14A, VCP, VDR, VRK1, VRK2, WDR33, WDR48, WDR5, WRN, WT1, WWOX, XPO1, XRCC1, XRCC6, YBX1, YWHAG, YWHAZ, YY1, ZBTB2, ZBTB7A, ZCCHC10, ZHX1, ZMIZ1, ZNF148, ZNF24, ZNF385A, ZNF420, ZNHIT1	6	543	0.011	1	0	0
Acetylsalicylic acid	rheumatoid arthritis	CYP2C19		POR	0	1	0	0	0	0
Acetylsalicylic acid	rheumatoid arthritis	SLC22A6		APP, APPBP2	0	2	0	0	0	0
Acetylsalicylic acid	rheumatoid arthritis	AKR1C1		COMMD8, MAPK3, PTPN3	0	3	0	0	0	0
Acetylsalicylic acid	rheumatoid arthritis	PTGS1		MAP1S, NUCB1, PTGIS	0	3	0	0	0	0
Acetylsalicylic acid	rheumatoid arthritis	PTGS2		ABHD16A, CAV1, NELFCD, NUCB1, PTGIS, TP53, UBC	0	7	0	1	0	0
Acetylsalicylic acid	rheumatoid arthritis	CYP2C9		CDC37, ECSIT, MAST1, POR, RAB3D, RNF32, STAMBP, STAT5A	0	8	0	0	0	0
Acetylsalicylic acid	rheumatoid arthritis	CYP2C8		A2M, APOE, BLMH, DNAJB1, ECSIT, EXOC6, IFIT3, LONP1, MAST1, PGRMC1, RNF32	0	11	0	0	0	0
Acetylsalicylic acid	rheumatoid arthritis	EDNRA		ARRB1, ARRB2, COPS5, EDN1, EDN3, GNA11, GNAI2, GRK6, HDAC7, KAT5, SRC	0	11	0	0	0	0
Acetylsalicylic acid	rheumatoid arthritis	ABCB1		BCCIP, CAV1, CD4, DHX9, HAX1, LAPTM4B, LNX1, MAPKAP1, PHB2, PIM1, PSMB8, RNF2, UBC	0	13	0	0	0	0
Acetylsalicylic acid	rheumatoid arthritis	RPS6KA3		AIM1, ATP5J, BAD, BARX1, CREB1, CREBBP, CSNK2B, EIF3C, ESR1, FAM21A, FAM65B, FGF2, GRIN1, GRIN2D, GSTK1, H2AFX, HIST3H3, HMGN1, HMGN2, HSP90AA1, HSP90AB1, HTR2A, KRT18, MAGI1, MAPK1, MAPK14, MAPK3, MAPT, MASP1, MCC, NEDD4, NFKBIA, NR4A1, PDPK1, PEA15, PLD1, SHANK1, SMS, STK11, TRAF2, UBC, YBX1, ZMYM2, ZMYM5	0	44	0	0	0	0
Acetylsalicylic acid	rheumatoid arthritis	ALB		ACADVL, ADRA1B, AGA, AHSG, AMBP, AMPD3, AP1M1, AP4E1, APOA1, APOA2, APOA4, APOC1, APOC2, APOC3, APOE, APP, ATM, BBC3, C4A, CABLES1, CACNA1I, CAMTA1, CDC45, CDCP1, CEBPB, CEP44, CFB, CFD, CFH, CHKB, CLCA2, CNOT1, CRB1, CROT, CRYAA, CST3, CTAGE5, CTSL, CUBN, DCC, DCD, DDB1, DENR, DERL1, DGKG, DICER1, DMD, DMWD, EEF2K, EIF4A3, ETF1, EXOC6, F2, F7, FAM71E2, FBXO6, FCGRT, FGA, FN1, GABBR1, GCN1L1, GFAP, GJC2, GRAP2, GRB2, GSN, HNF1A, HP, HPX, IGDCC4, IMMT, IQCB1, ITGA2, ITGB5, ITIH1, JARID2, KCNMA1, KIAA0101, KIAA0232, KIAA1551, KLK3, KRT1, KRT10, KRT13, KRT14, KRT16, KRT5, KRT6A, KRT6B, KRT9, LAT, LDB3, LRP2, LUC7L2, METAP2, MYL4, MYLK3, NCOA3, NFKB1, NLRC4, NPHS1, NR5A2, OBSL1, OR2T6, OR3A2, OR8D2, ORM1, PA2G4, PALB2, PCDH1, PCED1B, PDE4B, PDZRN4, PEG3, PF4V1, PFDN1, PHC3, PLA2G4F, PLAG1, PLCB1, PON1, PPBP, PRB3, PRSS1, PRSS3, QTRTD1, RANBP2, RANBP3, RBP4, RLF, RYR2, SACS, SCAF1, SCN5A, SERPING1, SETX, SGOL2, SH3BP5, SLA2, SLC1A5, SLC25A13, SLC9A8, SLX4, SORBS3, SPAST, SPATA31A7, SRGN, ST13, TF, THRAP3, TIAM1, TK1, TLN2, TRAPPC11, TSC22D1, TTN, TTPAL, TTR, UBC, UBD, UIMC1, YWHAE, YWHAG, ZNF232, ZNF292	0	165	0	1	0	0
Acetylsalicylic acid	systemic lupus erythematosus	NFKBIA	TNIP1, UBE2L3	ACTG1, ANXA1, ARRB1, ARRB2, ATF4, AURKA, BARD1, BTRC, CALM1, CALM2, CALM3, CAPN1, CAPN3, CASP3, CD7, CDC34, CHUK, CISH, CLTC, COMMD1, COPB2, COPS2, CSNK2A1, CSNK2B, CUL1, DDX3X, DNAJA3, DYNLL1, EIF2AK2, ELP3, EP300, FBXW11, G3BP2, GLG1, GTF2I, HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HIST3H3, HNRNPA1, HNRNPAB, HNRNPU, HOXA9, HOXB7, HSPA1A, HSPA1L, HSPA4, HSPA5, HSPA8, HSPA9, HSPB1, IKBKAP, IKBKB, IKBKE, IKBKG, IKZF4, IRAK1, ITPK1, JAK2, KPNA3, LCK, LYL1, MAP3K1, MAP3K14, MAP3K2, MAP3K3, MAP3K8, MCM3, MCM5, MCM7, MED19, MEFV, NCOR1, NCOR2, NEDD9, NFKB1, NFKB2, NFKBIB, NFKBIE, NKIRAS1, NKIRAS2, PCBD1, PIK3R1, PIR, POLR2C, POLRMT, POM121, PRKCA, PRKCI, PRKCZ, PSMA2, PSMA4, PTPN1, PTPN13, RBCK1, RBX1, REL, RELA, RELB, RNF31, ROCK2, RPL23, RPL30, RPL6, RPS13, RPS27A, RPS27L, RPS3, RPS6KA1, RPS6KA3, RWDD3, SHARPIN, SKP1, SLC25A4, SLC25A5, SOCS3, SPAG9, SPG11, SPRR3, SRC, ST7, STAT1, SUMO1, SUMO2, SUMO3, SUMO4, SYNE3, TBK1, TGM2, TIMM50, TNFSF11, TNIP1, TP53, TUBA1A, TUBA1B, TUBA3C, TUBA3D, TUBB, TUBB4A, UBA52, UBB, UBC, UBE2D1, UBE2D2, UBE2D3, UBE2E3, UBE2L3, VCP, YWHAH, ZNF212	2	152	0.0132	0	0	0
Acetylsalicylic acid	systemic lupus erythematosus	IKBKB	TNFAIP3	ACTG1, ACVR1, AKT1, ARRB1, ARRB2, AURKA, BCL10, BID, BIRC3, BRAP, BTRC, C1QBP, CALM1, CALM2, CALM3, CASP8, CCAR2, CD3EAP, CDC37, CDKN2A, CFLAR, CHUK, CLTC, CNTN2, COPS3, COPS4, COPS5, COPS7A, CREBBP, CSF2RA, CSF2RB, CTNNAL1, CTNNB1, CUEDC2, CUL1, CXCL8, DNAJA3, DOK1, EGLN3, EIF2AK2, EIF2AK3, EPRS, FAF1, FANCA, FBL, FBXW11, FBXW7, FLNA, FLT3, FOXO3, HNRNPU, HOMER3, HSP90AA1, HSP90AB1, HSPA1A, HSPA1B, HSPA1L, HSPA5, HSPA8, HSPA9, HSPD1, HTT, IKBIP, IKBKAP, IKBKE, IKBKG, IQGAP1, IQGAP2, IRAK1, IRS1, IRS2, JUN, KEAP1, KPNA2, LRPPRC, LYZ, MAP3K1, MAP3K11, MAP3K13, MAP3K14, MAP3K3, MAP3K7, MARK3, MAVS, MCC, MEOX2, MLST8, MRPL4, MTIF2, MYD88, MYH10, NAA20, NCOA2, NCOA3, NEDD4L, NFKB1, NFKB2, NFKBIA, NFKBIB, NFKBIE, NLRC5, NLRP2, NLRX1, NOTCH1, NR2C2, PARP1, PDCD2, PEBP1, PELI1, PLK1, POLR1A, POLR1B, POLR1D, POLR1E, POLR2H, POLR2L, PPM1B, PPP1CA, PPP2R3C, PRDX3, PRKCA, PRKCB, PRKCD, PRKCE, PRKCI, PRKCQ, PRKCZ, PRKDC, RASAL2, REL, RELA, RIPK1, RPL30, RPL4, RPL6, RPL8, RPS11, RPS13, RPS3, SEC16A, SKP1, SMARCC1, SRC, STAP2, TAB1, TAB2, TANK, TBK1, TFAP2C, TGFBR1, TIMM50, TNFAIP3, TNFRSF1A, TNIP2, TP53, TP73, TPX2, TRAF1, TRAF2, TRAF3IP2, TRAPPC9, TRIM21, TRIM27, TRIM40, TRPC4AP, TSC1, TUBA3C, TUBA3D, TUBB, TUBB2B, TUBB4A, UBB, UBC, USP9X, YWHAB, ZC3H12A	1	176	0.00568	0	0	0
