metapath	length	n_pairs	pc_density	pc_mean	pc_max	dwpc-0.5_raw_mean
CrCuG	2	32506640	0.00250576	0.0038642	20	1.66379e-05
CrCiPC	2	535440	0.00734349	0.0140856	20	0.000588955
CrCcSE	2	8899168	0.0546672	0.115624	28	0.000123316
CpDpC	2	2408704	0.00206252	0.00237223	5	7.43109e-05
CpDtC	2	2408704	0.00100261	0.00112426	6	4.82391e-05
CpDrD	2	212624	0.00782602	0.00986718	5	0.000383535
CpDaG	2	32506640	0.00163191	0.00177551	7	1.71169e-05
CpDdG	2	32506640	0.00114177	0.00115346	3	1.55448e-05
CpDuG	2	32506640	0.00113512	0.00114586	3	1.51899e-05
CpDpS	2	679776	0.0185399	0.0221823	7	0.000261687
CtDtC	2	2408704	0.00574583	0.0067007	14	0.000132532
CtDrD	2	212624	0.0169407	0.0257309	9	0.000545306
CtDaG	2	32506640	0.00486857	0.00550417	16	2.94483e-05
CtDdG	2	32506640	0.00207542	0.00213624	4	2.16303e-05
CtDuG	2	32506640	0.00211498	0.00218909	5	2.1729e-05
CtDpS	2	679776	0.0247361	0.0323254	13	0.000328019
CbGbC	2	2408704	0.197506	0.395682	51	0.000426345
CbGdC	2	2408704	0.00311495	0.00352513	6	1.76754e-05
CbGuC	2	2408704	0.00529206	0.00584339	9	2.58736e-05
CbGaD	2	212624	0.129327	0.220182	17	0.000492032
CbGdD	2	212624	0.0214557	0.025571	9	0.000114611
CbGuD	2	212624	0.016936	0.0209948	9	0.000120445
CbGcG	2	32506640	0.0017306	0.0017713	5	1.20989e-05
CbGiG	2	32506640	0.00546008	0.0070612	87	1.81309e-05
CbG<rG	2	32506640	0.0049548	0.00531605	11	6.61664e-06
CbGr>G	2	32506640	0.00595192	0.00759306	55	9.80394e-06
CbGpMF	2	4475968	0.0168703	0.0368941	122	0.000107675
CbGpPW	2	2827744	0.0253393	0.0528849	48	0.000142383
CdGdC	2	2408704	0.0625822	0.242279	250	0.000180091
CdGuC	2	2408704	0.0166056	0.0412844	47	5.93356e-05
CdGaD	2	212624	0.0543965	0.129247	62	0.000168682
CdGdD	2	212624	0.0245692	0.056353	18	0.000107027
CdGuD	2	212624	0.0288114	0.0840122	52	0.000135751
CdGcG	2	32506640	0.00324644	0.00385198	13	1.03167e-05
CdGiG	2	32506640	0.0129922	0.0237324	233	1.48727e-05
CdG<rG	2	32506640	0.0425996	0.14719	91	3.07218e-05
CdGr>G	2	32506640	0.0174793	0.0403628	98	1.64339e-05
CdGpMF	2	4475968	0.0167345	0.0336779	42	4.30196e-05
CdGpPW	2	2827744	0.0370903	0.0775413	93	6.71097e-05
CuGuC	2	2408704	0.0431975	0.152475	250	0.000164702
CuGaD	2	212624	0.0649691	0.15582	33	0.000207821
CuGdD	2	212624	0.0236192	0.0579803	36	0.000118505
CuGuD	2	212624	0.0262717	0.0669257	22	0.000135124
CuGcG	2	32506640	0.00309352	0.00377104	13	1.03768e-05
CuGiG	2	32506640	0.0108242	0.0172253	208	1.5056e-05
CuG<rG	2	32506640	0.0313288	0.0855062	87	2.61591e-05
CuGr>G	2	32506640	0.0147198	0.035221	102	1.52033e-05
CuGpMF	2	4475968	0.0160861	0.032427	41	4.58052e-05
CuGpPW	2	2827744	0.0349324	0.0675386	55	7.04476e-05
CiPCiC	2	2408704	0.00233736	0.0026205	5	0.000197079
CcSEcC	2	2408704	0.462344	13.9202	823	0.00035929
DlAlD	2	18769	0.550163	2.12926	58	0.00578858
DlAdG	2	2869465	0.262544	0.440725	14	0.00015613
DlAeG	2	2869465	0.62209	2.27436	37	0.000272702
DlAuG	2	2869465	0.262302	0.414282	11	0.000167577
DpCpD	2	18769	0.0153445	0.0347381	12	0.000935264
DpCtD	2	18769	0.0103895	0.0186478	7	0.000710357
DpCbG	2	2869465	0.00088797	0.00192754	20	2.03995e-05
DpCdG	2	2869465	0.00133021	0.00189791	8	1.65954e-05
DpCuG	2	2869465	0.00120197	0.0017965	8	1.60119e-05
DpCiPC	2	47265	0.00471808	0.00757432	17	0.000692976
DpCcSE	2	785558	0.0431706	0.117966	25	0.000196357
DtCtD	2	18769	0.0569023	0.151313	15	0.00175842
DtCbG	2	2869465	0.00189443	0.0033163	28	4.27028e-05
DtCdG	2	2869465	0.00769028	0.0140727	20	5.35165e-05
DtCuG	2	2869465	0.00768994	0.0131401	20	5.79368e-05
DtCiPC	2	47265	0.00846292	0.0157622	14	0.00113564
DtCcSE	2	785558	0.0642702	0.17437	63	0.000282945
DrDrD	2	18769	0.225585	0.695935	21	0.00526315
DrDaG	2	2869465	0.0244164	0.0311298	17	0.000193172
DrDdG	2	2869465	0.0171893	0.0177692	4	0.000136458
DrDuG	2	2869465	0.0181375	0.0188167	4	0.000135268
DrDpS	2	60006	0.227327	0.495667	17	0.00299765
DaGaD	2	18769	0.484949	3.78816	159	0.00304602
DaGdD	2	18769	0.118653	0.337578	23	0.000902928
DaGuD	2	18769	0.128456	0.457829	41	0.00101357
DaGcG	2	2869465	0.0184456	0.0230161	17	9.88052e-05
DaGiG	2	2869465	0.0842394	0.1691	335	0.000153399
DaG<rG	2	2869465	0.0613654	0.147517	51	5.70963e-05
DaGr>G	2	2869465	0.0558418	0.161545	138	7.05985e-05
DaGpMF	2	395108	0.111035	0.317108	90	0.000512225
DaGpPW	2	249614	0.229446	0.756023	181	0.000765743
DdGdD	2	18769	0.057222	0.266184	39	0.000468992
DdGuD	2	18769	0.0539187	0.172998	14	0.000597187
DdGcG	2	2869465	0.0121754	0.0161671	13	7.04749e-05
DdGiG	2	2869465	0.0307939	0.0557888	188	7.95197e-05
DdG<rG	2	2869465	0.0277898	0.0590448	17	3.71712e-05
DdGr>G	2	2869465	0.0206024	0.0522421	54	3.561e-05
DdGpMF	2	395108	0.0471036	0.115538	34	0.000261535
DdGpPW	2	249614	0.0806766	0.171156	67	0.000322492
DuGuD	2	18769	0.0596729	0.322979	91	0.000508927
DuGcG	2	2869465	0.011614	0.0144748	13	6.87735e-05
DuGiG	2	2869465	0.0344064	0.0606841	208	8.04324e-05
DuG<rG	2	2869465	0.0304848	0.0800595	66	4.37217e-05
DuGr>G	2	2869465	0.0227809	0.0609511	59	3.80228e-05
DuGpMF	2	395108	0.0485184	0.119137	38	0.000262795
DuGpPW	2	249614	0.0895743	0.209888	72	0.000354606
DpSpD	2	18769	0.604401	2.49667	62	0.00562798
GdAdG	2	438693025	0.342603	0.790714	30	3.05594e-05
GdAeG	2	438693025	0.508159	2.1828	31	2.46808e-05
GdAuG	2	438693025	0.344844	0.704828	23	3.14183e-05
GeAeG	2	438693025	0.712598	10.4414	83	3.61847e-05
GeAuG	2	438693025	0.540892	2.14837	24	2.65063e-05
GuAuG	2	438693025	0.35541	0.6809	23	3.34333e-05
GpBPpG	2	438693025	0.0942277	0.41078	387	2.59996e-05
GpCCpG	2	438693025	0.0272109	0.0571324	45	2.05212e-05
GbCbG	2	438693025	0.000221389	0.000474245	212	2.6331e-06
GbCdG	2	438693025	0.000403731	0.000634631	73	1.42811e-06
GbCuG	2	438693025	0.000396441	0.000581265	73	1.52757e-06
GbCiPC	2	7226025	0.000827564	0.00131691	22	4.08553e-05
GbCcSE	2	120098630	0.00437257	0.0126145	403	7.95545e-06
GdCdG	2	438693025	0.00361051	0.0076756	68	4.63981e-06
GdCuG	2	438693025	0.00375345	0.00711423	61	5.01404e-06
GdCiPC	2	7226025	0.00236105	0.00299307	18	3.32744e-05
GdCcSE	2	120098630	0.0114109	0.0270019	122	8.0296e-06
GuCuG	2	438693025	0.00381292	0.00678948	65	5.47063e-06
GuCiPC	2	7226025	0.00218197	0.00276847	17	3.51221e-05
GuCcSE	2	120098630	0.0115564	0.0238801	91	8.41791e-06
GaDaG	2	438693025	0.00618859	0.0072096	32	1.0135e-05
GaDdG	2	438693025	0.00264093	0.00270603	5	6.82421e-06
GaDuG	2	438693025	0.00268482	0.0027646	8	6.73793e-06
GaDpS	2	9173910	0.0324435	0.0416488	26	0.000113933
GdDdG	2	438693025	0.0039907	0.00403386	4	1.24728e-05
GdDuG	2	438693025	0.0040238	0.00407614	5	1.23099e-05
GdDpS	2	9173910	0.0194394	0.0204973	6	7.39859e-05
GuDuG	2	438693025	0.00406691	0.00414626	5	1.21574e-05
GuDpS	2	9173910	0.0195889	0.020831	8	7.25622e-05
GcGcG	2	438693025	0.00673368	0.0168802	215	1.8082e-05
GcGiG	2	438693025	0.00373059	0.00449531	281	8.52234e-06
GcG<rG	2	438693025	0.00339459	0.00386708	16	3.35664e-06
GcGr>G	2	438693025	0.00303992	0.00388833	57	3.36259e-06
GcGpMF	2	60405380	0.00739901	0.0102638	29	2.82577e-05
GcGpPW	2	38161790	0.0111139	0.0137608	48	3.36528e-05
GiGiG	2	438693025	0.189031	0.252627	1155	2.22703e-05
GiG<rG	2	438693025	0.0124262	0.0195847	287	4.88301e-06
GiGr>G	2	438693025	0.015619	0.0273366	1175	5.79483e-06
GiGpMF	2	60405380	0.0203567	0.043873	586	3.53397e-05
GiGpPW	2	38161790	0.0842118	0.166929	930	5.88922e-05
G<rG<rG	2	438693025	0.0162633	0.0377106	128	4.5335e-06
G<rGr>G	2	438693025	0.0206797	0.0686446	1004	8.93852e-06
G<rGpMF	2	60405380	0.0172227	0.0395263	284	1.66329e-05
G<rGpPW	2	38161790	0.0391332	0.0887515	290	2.67955e-05
Gr>G<rG	2	438693025	0.034604	0.172429	119	8.41686e-06
Gr>GpMF	2	60405380	0.0185269	0.0335224	46	1.45593e-05
Gr>GpPW	2	38161790	0.0396506	0.0696472	66	2.13637e-05
GpMFpG	2	438693025	0.0281503	0.0704134	35	2.58787e-05
GpPWpG	2	438693025	0.0266447	0.0501861	191	1.64969e-05
MFpGpMF	2	8317456	0.0264122	0.1422	874	0.000164955
MFpGpPW	2	5254648	0.045152	0.153983	642	0.000185431
PWpGpPW	2	3319684	0.131568	0.805815	1013	0.000348421
PCiCiPC	2	119025	0.00722537	0.0101323	11	0.000792738
PCiCcSE	2	1978230	0.0396238	0.0686366	20	0.000258734
SEcCcSE	2	32878756	0.178474	1.03398	853	7.84417e-05
SpDpS	2	191844	0.314391	0.671264	30	0.00177682
AlDlAlD	3	55074	0.908505	27.754	493	0.00321967
AlDlAdG	3	8419890	0.58892	5.01574	145	7.87796e-05
AlDlAeG	3	8419890	0.811781	25.3193	342	0.000139213
AlDlAuG	3	8419890	0.625662	4.55894	135	8.35315e-05
AlDpCrC	3	623904	0.0978163	0.240665	30	0.000212178
AlDpCpD	3	55074	0.0895886	0.349294	46	0.00050895
AlDpCtD	3	55074	0.0852853	0.216509	27	0.000400921
AlDpCbG	3	8419890	0.00555494	0.0197914	143	1.16873e-05
AlDpCdG	3	8419890	0.00970096	0.0198068	35	9.74707e-06
AlDpCuG	3	8419890	0.00979989	0.0193923	32	9.5718e-06
AlDpCiPC	3	138690	0.0393467	0.0849953	44	0.000400267
AlDpCcSE	3	2305068	0.206981	1.184	197	0.000108295
AlDtCrC	3	623904	0.10437	0.327546	59	0.000274424
AlDtCpD	3	55074	0.0679449	0.190544	26	0.000376972
AlDtCtD	3	55074	0.263337	1.77051	83	0.00107823
AlDtCbG	3	8419890	0.011248	0.0381538	128	2.449e-05
AlDtCdG	3	8419890	0.0422076	0.160361	110	3.02572e-05
AlDtCuG	3	8419890	0.0449055	0.147277	85	3.24286e-05
AlDtCiPC	3	138690	0.0675247	0.180373	52	0.000651425
AlDtCcSE	3	2305068	0.282806	1.9944	238	0.000162179
AlDrDlA	3	161604	0.792914	7.99312	225	0.00192814
AlDrDpC	3	623904	0.0362764	0.0868387	33	0.00018734
AlDrDtC	3	623904	0.0790506	0.286461	147	0.000305038
AlDrDrD	3	55074	0.606475	8.10021	259	0.00285757
AlDrDaG	3	8419890	0.106768	0.337528	274	0.000104871
AlDrDdG	3	8419890	0.0884242	0.173339	33	6.91941e-05
AlDrDuG	3	8419890	0.0912282	0.184501	38	6.87101e-05
AlDrDpS	3	176076	0.600161	6.03742	283	0.00165032
AlDaGdA	3	161604	0.0877763	16.6821	1499	0.000258085
AlDaGeA	3	161604	0.460942	93.9341	3347	0.000582827
AlDaGuA	3	161604	0.0880424	16.134	1448	0.000273058
AlDaGpBP	3	4575162	0.607148	8.95791	953	0.000171364
AlDaGpCC	3	559182	0.454457	5.31533	678	0.000339202
AlDaGbC	3	623904	0.551747	2.5242	125	0.000281357
AlDaGdC	3	623904	0.201412	1.37876	152	9.54502e-05
AlDaGuC	3	623904	0.222828	1.72017	206	0.000119768
AlDaGaD	3	55074	0.852744	41.3796	967	0.00172783
AlDaGdD	3	55074	0.25798	3.6734	127	0.000516258
AlDaGuD	3	55074	0.256019	4.76263	185	0.00056869
AlDaGcG	3	8419890	0.111881	0.253869	80	5.6203e-05
AlDaGiG	3	8419890	0.318795	1.87182	2363	8.81326e-05
AlDaG<rG	3	8419890	0.174358	1.61188	218	3.2556e-05
AlDaGr>G	3	8419890	0.192086	1.80604	991	4.13247e-05
AlDaGpMF	3	1159368	0.418003	3.49711	553	0.00029037
AlDaGpPW	3	732444	0.69101	8.44117	968	0.000441957
AlDdGdA	3	161604	0.0726777	7.66884	1226	0.000164911
AlDdGeA	3	161604	0.276423	41.4032	2433	0.000293862
AlDdGuA	3	161604	0.0729561	7.42663	896	0.000176486
AlDdGpBP	3	4575162	0.297684	1.50958	250	6.67989e-05
AlDdGpCC	3	559182	0.288039	1.61449	206	0.000176452
AlDdGbC	3	623904	0.12944	0.209763	33	5.73148e-05
AlDdGdC	3	623904	0.118318	0.477628	85	5.31742e-05
AlDdGuC	3	623904	0.116534	0.489107	90	5.96277e-05
AlDdGaD	3	55074	0.474217	2.8681	124	0.000459936
AlDdGdD	3	55074	0.194175	2.26188	138	0.000237854
AlDdGuD	3	55074	0.18624	1.43151	72	0.000299888
AlDdGcG	3	8419890	0.0713753	0.131793	76	3.55692e-05
AlDdGiG	3	8419890	0.16139	0.4771	1607	4.04684e-05
AlDdG<rG	3	8419890	0.114819	0.515313	91	1.87397e-05
AlDdGr>G	3	8419890	0.0973311	0.443232	389	1.80035e-05
AlDdGpMF	3	1159368	0.229647	0.960102	182	0.000132142
AlDdGpPW	3	732444	0.379834	1.4489	320	0.000162619
AlDuGdA	3	161604	0.0723992	7.33963	998	0.000160486
AlDuGeA	3	161604	0.280538	40.0779	2428	0.000289613
AlDuGuA	3	161604	0.0725972	7.57469	1175	0.000175961
AlDuGpBP	3	4575162	0.307688	1.69399	351	6.76487e-05
AlDuGpCC	3	559182	0.290496	1.614	228	0.000178236
AlDuGbC	3	623904	0.104479	0.157148	24	5.92754e-05
AlDuGdC	3	623904	0.139203	0.742893	135	6.85528e-05
AlDuGuC	3	623904	0.117598	0.538003	113	6.63876e-05
AlDuGaD	3	55074	0.485892	3.71371	196	0.000506275
AlDuGdD	3	55074	0.187675	1.38592	65	0.00029931
AlDuGuD	3	55074	0.19423	2.6159	214	0.00025205
AlDuGcG	3	8419890	0.0702564	0.120691	64	3.50924e-05
AlDuGiG	3	8419890	0.175718	0.507703	1722	4.0989e-05
AlDuG<rG	3	8419890	0.117693	0.66359	199	2.16268e-05
AlDuGr>G	3	8419890	0.101896	0.489185	452	1.86391e-05
AlDuGpMF	3	1159368	0.236089	0.985278	218	0.000131449
AlDuGpPW	3	732444	0.404173	1.74752	404	0.000178478
AlDpSpD	3	55074	0.915114	31.8769	521	0.00323059
AdGdAlD	3	55074	0.0754439	212.656	21744	0.000364528
AdGdAdG	3	8419890	0.0643616	369.031	39477	6.7632e-05
AdGdAeG	3	8419890	0.0759647	1047.39	43865	5.61367e-05
AdGdAuG	3	8419890	0.0679761	334.621	27183	7.10038e-05
AdGeAlD	3	55074	0.0869376	782.437	91587	0.000555156
AdGeAdG	3	8419890	0.0643616	752.087	141744	5.19972e-05
AdGeAeG	3	8419890	0.0773162	3583.92	246069	7.42142e-05
AdGeAuG	3	8419890	0.0679761	739.265	107866	5.58135e-05
AdGuAlD	3	55074	0.0754439	160.788	18137	0.000383792
AdGuAdG	3	8419890	0.0643616	272.254	42223	7.19238e-05
AdGuAeG	3	8419890	0.0759647	820.221	46384	6.01856e-05
AdGuAuG	3	8419890	0.0679761	259.177	31535	7.59278e-05
AdGpBPpG	3	8419890	0.0631027	136.752	70156	5.01072e-05
AdGpCCpG	3	8419890	0.0448283	19.6576	8112	4.14857e-05
AdGbCrC	3	623904	0.0632918	0.965432	265	4.5772e-05
AdGbCpD	3	55074	0.0292334	0.521444	205	3.78373e-05
AdGbCtD	3	55074	0.0465737	1.22415	295	9.24564e-05
AdGbCbG	3	8419890	0.00645377	0.153436	3035	5.56516e-06
AdGbCdG	3	8419890	0.0104712	0.222365	865	3.0979e-06
AdGbCuG	3	8419890	0.0118787	0.202028	660	3.32827e-06
AdGbCiPC	3	138690	0.0598024	0.441856	153	8.35151e-05
AdGbCcSE	3	2305068	0.0749279	3.93553	3621	1.62809e-05
AdGdCrC	3	623904	0.0543225	1.37577	582	3.4961e-05
AdGdCpD	3	55074	0.0248393	0.663126	328	3.79877e-05
AdGdCtD	3	55074	0.0454843	4.38209	1839	0.000111943
AdGdCbG	3	8419890	0.00409447	0.193078	5500	2.9702e-06
AdGdCdG	3	8419890	0.0122743	2.32253	5822	9.58368e-06
AdGdCuG	3	8419890	0.0138516	2.162	4915	1.03204e-05
AdGdCiPC	3	138690	0.0438027	0.911472	746	7.00408e-05
AdGdCcSE	3	2305068	0.0669282	8.38464	7579	1.70385e-05
AdGuCrC	3	623904	0.0540227	1.50333	515	3.85823e-05
AdGuCpD	3	55074	0.024694	0.690217	284	3.79364e-05
AdGuCtD	3	55074	0.0450485	5.00668	1967	0.000133944
AdGuCbG	3	8419890	0.00406775	0.218459	4884	3.52616e-06
AdGuCdG	3	8419890	0.0122635	2.60951	5487	1.14214e-05
AdGuCuG	3	8419890	0.0138527	2.48822	4186	1.24726e-05
AdGuCiPC	3	138690	0.0427644	1.03379	953	8.07665e-05
AdGuCcSE	3	2305068	0.067188	9.01208	6531	1.94849e-05
AdGaDpC	3	623904	0.012635	0.621677	663	3.61573e-05
AdGaDtC	3	623904	0.0221492	1.96503	1386	6.27931e-05
AdGaDrD	3	55074	0.0841958	10.8793	955	0.000404723
AdGaDaG	3	8419890	0.0229273	2.5738	2936	2.15741e-05
AdGaDdG	3	8419890	0.0237247	0.946579	515	1.43968e-05
AdGaDuG	3	8419890	0.0231556	0.967655	699	1.42118e-05
AdGaDpS	3	176076	0.0845033	14.6913	1925	0.000240565
AdGdDpC	3	623904	0.00823364	0.383535	680	3.11512e-05
AdGdDtC	3	623904	0.0155168	0.798306	970	4.54475e-05
AdGdDrD	3	55074	0.0667102	6.40865	880	0.000281353
AdGdDaG	3	8419890	0.0162911	0.987785	1839	1.42141e-05
AdGdDdG	3	8419890	0.0244915	1.44358	828	2.63815e-05
AdGdDuG	3	8419890	0.0239839	1.45944	1049	2.60582e-05
AdGdDpS	3	176076	0.0676072	7.07562	1706	0.000151292
AdGuDpC	3	623904	0.00783294	0.388276	514	3.12611e-05
AdGuDtC	3	623904	0.0166372	0.750005	747	4.51098e-05
AdGuDrD	3	55074	0.0677815	6.30506	632	0.000278432
AdGuDaG	3	8419890	0.0165953	0.926776	1413	1.38413e-05
AdGuDdG	3	8419890	0.0244783	1.38688	577	2.53575e-05
AdGuDuG	3	8419890	0.0239987	1.40636	746	2.4966e-05
AdGuDpS	3	176076	0.0676299	7.06659	1205	0.000149714
AdGcGdA	3	161604	0.00779684	21.0845	12555	6.33023e-05
AdGcGeA	3	161604	0.0480743	111.827	33643	0.000115604
AdGcGuA	3	161604	0.00779684	20.573	12160	6.76613e-05
AdGcGpBP	3	4575162	0.0746653	4.07727	2818	2.54329e-05
AdGcGpCC	3	559182	0.0757088	4.60501	2228	6.72078e-05
AdGcGbC	3	623904	0.0584673	0.530232	209	2.12487e-05
AdGcGdC	3	623904	0.03238	1.05936	729	1.87358e-05
AdGcGuC	3	623904	0.0297562	1.03719	717	1.84163e-05
AdGcGaD	3	55074	0.0813814	6.30937	1178	0.000175199
AdGcGdD	3	55074	0.0259469	4.46899	706	0.000124525
AdGcGuD	3	55074	0.0268003	3.98264	700	0.000120544
AdGcGcG	3	8419890	0.0463475	5.09457	8266	3.39883e-05
AdGcGiG	3	8419890	0.0464312	1.27387	19294	1.53009e-05
AdGcG<rG	3	8419890	0.0188399	1.0844	1028	5.9959e-06
AdGcGr>G	3	8419890	0.0254491	1.08025	3486	5.91379e-06
AdGcGpMF	3	1159368	0.0668036	2.86301	2820	4.96972e-05
