1;2.5;G;CbGaD;Compound::DB00635;Gene::213;Disease::DOID:2841
1;2.5;G;CbGaD;Compound::DB00635;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB01222;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00896;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00687;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB01406;Gene::6347;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00764;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00443;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00443;Gene::5743;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00769;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00180;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00860;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00741;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00223;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB01260;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB01410;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00620;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00620;Gene::5743;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB06710;Gene::213;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00180;Gene::6347;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01234;Gene::5328;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01234;Gene::4088;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01234;Gene::7422;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01234;Gene::6347;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01234;Gene::1786;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01234;Gene::3553;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01234;Gene::3162;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01234;Gene::5321;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00547;Gene::4088;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00547;Gene::6347;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00324;Gene::4088;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00324;Gene::6347;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00324;Gene::3553;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00959;Gene::6347;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00959;Gene::3553;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00223;Gene::6347;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00443;Gene::5328;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00443;Gene::4088;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00443;Gene::7422;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00443;Gene::6347;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00443;Gene::1786;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00443;Gene::3553;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00443;Gene::3162;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00443;Gene::5321;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00288;Gene::6347;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01222;Gene::4088;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01222;Gene::6347;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01222;Gene::1786;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01222;Gene::3553;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB01013;Gene::6347;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00620;Gene::4088;Disease::DOID:2841
1;2.5;CG;CrCdGaD;Compound::DB00635;Compound::DB00620;Gene::6347;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB00180;Gene::7099;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB00990;Gene::1728;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB00990;Gene::3162;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB01234;Gene::387;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB01234;Gene::6774;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB01234;Gene::5054;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB00741;Gene::5054;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB00223;Gene::6774;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB00443;Gene::387;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB00443;Gene::6774;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB00443;Gene::5054;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB00288;Gene::5054;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB01222;Gene::5054;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB00620;Gene::5054;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB06710;Gene::3162;Disease::DOID:2841
1;2.5;CG;CrCuGaD;Compound::DB00635;Compound::DB01406;Gene::3162;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::632;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::7040;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::5743;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::1401;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::3600;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::3569;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::3576;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::4088;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::3557;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::3553;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::1116;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::7124;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::3952;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::2335;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:8398;Gene::4318;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:6364;Gene::1636;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:6364;Gene::4049;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:6364;Gene::627;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:6364;Gene::6863;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:6364;Gene::594857;Disease::DOID:2841
1;2.5;DG;CpDaGaD;Compound::DB00635;Disease::DOID:6364;Gene::7124;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:9008;Gene::1636;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:9008;Gene::3123;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:9008;Gene::1401;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:9008;Gene::3600;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:9008;Gene::4843;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:9008;Gene::4049;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:9008;Gene::7124;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:9008;Gene::3596;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:9008;Gene::3593;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:9008;Gene::3605;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::7412;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::3558;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::55876;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::7040;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::5743;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::3123;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::4282;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::920;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::1401;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::3600;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::3569;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::3586;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::1493;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::154;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::3576;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::3553;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::973;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::3458;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::3117;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::7124;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::94103;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::7421;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::6774;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::90865;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::213;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::929;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::3383;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::3593;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::4318;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::3605;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8577;Gene::7099;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:7147;Gene::1401;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:7147;Gene::3586;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:7147;Gene::3557;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:7147;Gene::973;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:7147;Gene::959;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:7147;Gene::7124;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:7147;Gene::3593;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:7147;Gene::3605;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:7147;Gene::7099;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::7349;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::5743;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::920;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::1401;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::3600;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::3569;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::3586;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::3576;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::4088;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::3553;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::973;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::3458;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::3606;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::7124;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::94103;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::6774;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::213;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::3383;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::3593;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::3559;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::3605;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::3562;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8778;Gene::7099;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::925;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::1636;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::3123;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::847;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::920;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::1401;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::3600;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::3569;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::3586;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::4843;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::3576;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::7422;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::3458;Disease::DOID:2841
1;2.5;DG;CtDaGaD;Compound::DB00635;Disease::DOID:8893;Gene::7124;Disease::DOID:2841
