half_life	drug	disease	circadian_efficacy	G_Fat SQ_amp	G_Fat Visceral_amp	G_Aorta_amp	G_Artery Coronary_amp	G_Artery Tibial_amp	G_Colon_amp	G_Esophagus_amp	G_Heart Atrial_amp	G_Liver_amp	G_Lung_amp	G_Nerve Tibial_amp	G_Pituitary_amp	G_Thyroid_amp	GC_Fat SQ_amp	GC_Fat Visceral_amp	GC_Aorta_amp	GC_Artery Coronary_amp	GC_Artery Tibial_amp	GC_Colon_amp	GC_Esophagus_amp	GC_Heart Atrial_amp	GC_Liver_amp	GC_Lung_amp	GC_Nerve Tibial_amp	GC_Pituitary_amp	GC_Thyroid_amp	GD_Fat SQ_amp	GD_Fat Visceral_amp	GD_Aorta_amp	GD_Artery Coronary_amp	GD_Artery Tibial_amp	GD_Colon_amp	GD_Esophagus_amp	GD_Heart Atrial_amp	GD_Liver_amp	GD_Lung_amp	GD_Nerve Tibial_amp	GD_Pituitary_amp	GD_Thyroid_amp	CG_Fat SQ_amp	CG_Fat Visceral_amp	CG_Aorta_amp	CG_Artery Coronary_amp	CG_Artery Tibial_amp	CG_Colon_amp	CG_Esophagus_amp	CG_Heart Atrial_amp	CG_Liver_amp	CG_Lung_amp	CG_Nerve Tibial_amp	CG_Pituitary_amp	CG_Thyroid_amp	DG_Fat SQ_amp	DG_Fat Visceral_amp	DG_Aorta_amp	DG_Artery Coronary_amp	DG_Artery Tibial_amp	DG_Colon_amp	DG_Esophagus_amp	DG_Heart Atrial_amp	DG_Liver_amp	DG_Lung_amp	DG_Nerve Tibial_amp	DG_Pituitary_amp	DG_Thyroid_amp
24.0000	DB00966	DOID:10763	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2570	0.4092	0.1142	0.1975	0.2062	0.1835	0.1958	0.2363	0.4059	0.0868	0.2370	0.0909	0.3475	0.7177	1.3158	1.9465	1.8096	2.8025	1.0454	0.9365	1.2699	0.8190	1.1325	0.8261	1.0484	2.7498
8.0000	DB00277	DOID:2841	Y	0.1391	0.2345	0.3994	0.5916	0.5502	0.3104	0.4922	0.4098	0.3622	0.1230	0.0563	0.5360	0.4151	0.3634	0.3799	0.3994	0.6115	0.5502	0.3104	0.5601	0.6418	0.3805	0.4860	0.2710	0.8441	0.5343	0.0936	0.2449	0.3917	0.6115	0.2865	0.3061	0.5601	0.6418	0.1941	0.4860	0.0771	0.8441	0.5343	0.1391	0.2345	0.3994	0.5916	0.5502	0.3104	0.4922	0.4098	0.3622	0.1230	0.0563	0.5360	0.4151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.5000	DB00214	DOID:10763	Y	0.2570	0.4092	0.0936	0.1598	0.2062	0.1835	0.1556	0.2363	0.4059	0.0296	0.2370	0.0080	0.3475	0.2941	0.4092	0.5060	0.7985	0.4671	0.6319	0.5165	0.5124	0.4059	0.1436	0.3807	0.3800	0.3475	0.2570	0.4092	0.0936	0.1598	0.2062	0.1835	0.1556	0.2363	0.4059	0.0296	0.2370	0.0080	0.3475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6107	1.2005	0.8428	1.0851	2.8025	1.0454	0.9365	1.2699	0.7149	0.9197	0.8178	1.0484	2.7498
13.0000	DB00275	DOID:10763	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4879	1.2005	0.8428	0.9055	1.2129	0.8036	0.7312	1.0130	0.6143	0.9197	0.7729	0.7199	0.6257	0.7177	1.3158	1.9465	1.8096	2.8025	1.0454	0.9365	1.2699	0.8190	1.1325	0.8261	1.0484	2.7498
24.0000	DB00178	DOID:10763	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6107	0.4918	0.6327	0.7085	0.5969	0.5796	0.6254	0.6570	0.4085	0.2245	0.3410	0.4375	0.3475	0.7177	1.3158	1.9465	1.8096	2.8025	1.0454	0.9365	1.2699	0.8190	1.1325	0.8261	1.0484	2.7498
40.0000	DB01348	DOID:10763	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6107	0.4918	0.6327	0.7085	0.5969	0.5796	0.6254	0.6570	0.4085	0.2245	0.3410	0.4375	0.3475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.0000	DB00177	DOID:10763	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1001	0.1283	0.1966	0.2018	0.3517	0.0546	0.1099	0.1685	0.0525	0.0883	0.0550	0.2050	0.1546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4879	1.2005	0.8428	0.9055	1.2129	0.8036	0.7312	1.0130	0.6143	0.9197	0.7729	0.7199	0.6257	0.7177	1.3158	1.9465	1.8096	2.8025	1.0454	0.9365	1.2699	0.8190	1.1325	0.8261	1.0484	2.7498
0.0300	DB00668	DOID:2841	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7249	1.1989	1.0114	0.8181	1.6587	1.0300	0.8487	0.8044	0.4480	0.8240	0.6552	1.5101	0.9316	0.0913	0.5270	0.2939	0.3255	0.0794	0.2596	0.2926	0.5200	0.3181	0.2663	0.0585	0.2262	0.0990	0.1141	0.1605	0.1735	0.3148	0.0942	0.0646	0.1925	0.1049	0.1433	0.2233	0.2346	0.1813	0.2081	0.6107	1.0018	0.6327	0.7085	0.7885	0.7256	0.5373	0.9227	0.4482	0.2798	0.4807	0.5850	0.5934
6.0000	DB00816	DOID:2841	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2220	0.4838	0.2113	0.3900	0.2807	0.2565	0.2924	0.2248	0.3573	0.4276	0.3429	0.2251	0.2577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.0000	DB00572	DOID:2841	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1055	0.2198	0.0970	0.1739	0.0272	0.1752	0.1737	0.1993	0.0935	0.0955	0.0676	0.0748	0.1098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2180	0.1861	0.1969	0.0761	0.4641	0.1791	0.5134	0.1573	0.2694	0.2311	0.0726	0.0604	0.2421	0.4161	1.2407	0.5322	0.7095	0.7885	0.7857	0.5134	0.9227	0.4546	0.9173	0.4727	0.9355	0.7734
2.5000	DB00635	DOID:7148	Y	0.2458	0.3883	0.1900	0.3651	0.2595	0.2072	0.2307	0.3088	0.3310	0.1973	0.2915	0.1708	0.2201	0.4879	1.0025	0.7677	0.7267	0.8670	0.6039	0.7312	0.8695	0.3718	0.2945	0.2915	0.6838	0.2645	0.1702	0.3883	0.1900	0.3651	0.1752	0.2072	0.2307	0.3088	0.2165	0.1973	0.2915	0.1708	0.1740	0.9849	1.3158	1.0386	1.8474	1.4303	0.7087	0.6583	1.0130	0.6143	1.2282	0.7729	1.0435	0.8694	1.0149	1.3158	1.0952	1.8474	2.8025	0.8333	1.1033	1.0130	1.1124	1.2282	1.1831	1.1350	2.7498
5.0000	DB00712	DOID:7148	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2570	0.6656	0.3356	0.4872	0.3558	0.3082	0.6084	0.4805	0.4059	0.3550	0.4158	0.2046	0.3475	0.1140	0.1419	0.1903	0.1859	0.1565	0.1080	0.1731	0.3221	0.1876	0.2074	0.1082	0.1592	0.1583	0.6107	0.4918	0.6327	0.7085	0.5969	0.5796	0.3996	0.6570	0.3091	0.5660	0.2496	0.4375	0.1728	0.5382	0.4240	0.2599	0.3529	0.7743	0.4112	0.6583	0.6307	0.3745	1.1325	0.3812	0.6630	0.5200
2.5000	DB00635	DOID:7148	Y	0.2458	0.3883	0.1900	0.3651	0.2595	0.2072	0.2307	0.3088	0.3310	0.1973	0.2915	0.1708	0.2201	0.4879	1.0025	0.7677	0.7267	0.8670	0.6039	0.7312	0.8695	0.3718	0.2945	0.2915	0.6838	0.2645	0.1702	0.3883	0.1900	0.3651	0.1752	0.2072	0.2307	0.3088	0.2165	0.1973	0.2915	0.1708	0.1740	0.9849	1.3158	1.0386	1.8474	1.4303	0.7087	0.6583	1.0130	0.6143	1.2282	0.7729	1.0435	0.8694	1.0149	1.3158	1.0952	1.8474	2.8025	0.8333	1.1033	1.0130	1.1124	1.2282	1.1831	1.1350	2.7498
2.5000	DB00635	DOID:7148	Y	0.2458	0.3883	0.1900	0.3651	0.2595	0.2072	0.2307	0.3088	0.3310	0.1973	0.2915	0.1708	0.2201	0.4879	1.0025	0.7677	0.7267	0.8670	0.6039	0.7312	0.8695	0.3718	0.2945	0.2915	0.6838	0.2645	0.1702	0.3883	0.1900	0.3651	0.1752	0.2072	0.2307	0.3088	0.2165	0.1973	0.2915	0.1708	0.1740	0.9849	1.3158	1.0386	1.8474	1.4303	0.7087	0.6583	1.0130	0.6143	1.2282	0.7729	1.0435	0.8694	1.0149	1.3158	1.0952	1.8474	2.8025	0.8333	1.1033	1.0130	1.1124	1.2282	1.1831	1.1350	2.7498
3.3000	DB00716	DOID:2841	N,HL<12h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.5000	DB01083	DOID:9970	N,HL<12h	0.3670	0.6834	0.5958	1.5073	0.4946	0.2302	0.3922	0.3624	0.4458	0.1737	0.4082	0.3948	1.0465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2396	0.4179	0.5958	1.3694	0.4946	0.1486	0.3922	0.2964	0.2326	0.1125	0.1988	0.2346	1.0465	0.3634	0.2457	0.2731	0.3674	0.1919	0.2703	0.0639	0.3136	0.2529	0.2770	0.2710	0.1888	0.1903	0.6621	1.2407	0.8428	0.9055	1.2129	1.0454	0.9365	1.2699	0.7149	1.1325	0.8823	1.0484	0.6996
0.3800	DB00262	DOID:2531	N,HL<12h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8158	1.1223	1.3777	1.1228	0.9856	0.8036	0.6277	0.9257	0.7922	0.6704	0.8936	0.7816	1.5973
0.3800	DB00262	DOID:0060073	N,HL<12h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3255	0.3828	0.2357	0.4006	0.3253	0.7482	0.4653	0.3825	0.2183	0.2982	0.3796	0.7624	0.4192
23.5000	DB00191	DOID:9970	N,12h<HL<24h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4111	0.3172	0.2689	0.6845	0.6071	0.4349	0.3412	0.2624	0.2052	0.2442	0.6506	0.1763	0.3458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4735	0.5641	0.4328	0.3824	0.9963	0.2703	0.3817	0.3781	0.3750	0.2940	0.4266	0.2725	0.7702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23.5000	DB00865	DOID:9970	N,12h<HL<24h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2050	0.1974	0.0269	0.0943	0.1386	0.0595	0.2531	0.1619	0.0518	0.1592	0.1190	0.0722	0.0842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5590	1.2407	0.4321	0.7004	0.4641	0.7857	0.5134	0.8697	0.4546	0.9173	0.5661	0.9355	0.3475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17.0000	DB01018	DOID:10763	N,12h<HL<24h	0.0965	0.2873	0.2009	0.3076	0.1005	0.1490	0.2214	0.2242	0.1199	0.1648	0.0985	0.0811	0.1705	0.0965	0.2873	0.2009	0.3076	0.1005	0.1490	0.2214	0.2242	0.1199	0.1648	0.0985	0.0811	0.1705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2570	0.5380	0.4458	0.8654	0.4827	0.3323	0.3981	0.3179	0.4059	0.1807	0.2370	0.1823	0.7782	0.0471	0.1516	0.1405	0.1661	0.1846	0.1355	0.0846	0.2013	0.1370	0.1608	0.1057	0.1262	0.0979
0.2800	DB00654	DOID:1686	N,HL<12h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1333	0.2111	0.1169	0.2011	0.1250	0.0845	0.2269	0.2160	0.1994	0.2640	0.1655	0.0940	0.1286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20.0000	DB00254	DOID:12365	N,12h<HL<24h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2162	0.1705	0.1409	0.1396	0.2368	0.1966	0.0478	0.2000	0.2464	0.2326	0.0769	0.2577	0.3793	0.5677	0.9025	0.8513	1.2196	0.6575	0.4858	0.5134	0.7483	0.3373	0.3826	0.3480	0.3246	0.6561
18.5000	DB00694	DOID:2531	N,12h<HL<24h	0.5443	0.8185	0.6496	0.9934	0.6394	0.8036	0.6442	0.8044	0.5215	0.4276	0.4307	0.3836	0.5120	0.5755	1.2407	0.7677	0.9934	0.8670	0.8036	0.7312	1.1390	0.6823	0.9173	0.6166	0.9355	0.7960	0.0989	0.2534	0.1625	0.1918	0.0943	0.0659	0.1585	0.1948	0.1790	0.0956	0.0980	0.0652	0.1510	0.5443	1.2005	0.8428	0.9934	1.2129	0.8036	0.6442	1.0130	0.6143	0.9197	0.7729	0.7199	0.7734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19.0000	DB00655	DOID:10283	N,12h<HL<24h	0.6424	0.2457	0.3917	0.6115	0.2865	0.3061	0.5601	0.6418	0.2630	0.4860	0.2710	0.8441	0.5343	0.3634	0.4191	0.6255	0.8016	0.4382	0.3061	0.5601	0.6418	0.2529	0.4860	0.2710	0.8441	0.5343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7249	1.1989	1.0114	0.8181	1.6587	1.0300	0.8487	0.6570	0.5215	0.8240	0.8261	1.5101	0.9316	0.7222	1.1361	0.7660	0.7085	0.9297	1.0454	0.9436	1.2699	0.7149	0.6704	0.8178	1.0484	0.7734
19.0000	DB01098	DOID:1936	N,12h<HL<24h	0.2078	1.2005	0.8428	0.9055	1.2129	1.0454	0.9365	1.2699	0.7149	0.9197	0.8178	1.0484	0.6996	0.5633	1.2005	0.8428	0.9055	1.2129	1.0454	0.9365	1.2699	0.7149	0.9197	0.8178	1.0484	0.6996	0.5633	1.2005	0.8428	0.9055	1.2129	1.0454	0.9365	1.2699	0.7149	0.9197	0.8178	1.0484	0.6996	0.3475	1.1361	0.7660	0.3970	0.2148	1.0454	0.9365	1.2699	0.7149	0.3661	0.8178	1.0484	0.6996	0.6107	1.2407	0.8428	0.9055	1.2129	1.0454	0.9436	1.2699	0.7149	1.3956	1.0305	1.4126	1.0871
2.5000	DB00985	DOID:3310	N,HL<12h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4215	0.3738	0.3692	0.5399	0.2194	0.4417	0.3686	0.4110	0.3190	0.1598	0.1354	0.5121	0.2954
19.0000	DB01098	DOID:3393	N,12h<HL<24h	0.5633	1.2005	0.8428	0.9055	1.2129	1.0454	0.9365	1.2699	0.7149	0.9197	0.8178	1.0484	0.6996	0.5633	1.2005	0.8428	0.9055	1.2129	1.0454	0.9365	1.2699	0.7149	0.9197	0.8178	1.0484	0.6996	0.2078	1.2005	0.8428	0.9055	1.2129	1.0454	0.9365	1.2699	0.7149	0.9197	0.8178	1.0484	0.6996	0.5633	1.1361	0.7660	0.7228	0.5452	1.0454	0.9365	1.2699	0.7149	0.7744	0.8178	1.0484	0.6996	0.6107	1.2407	0.8428	0.9055	1.2129	1.0454	0.9436	1.2699	0.7149	1.3956	1.0305	1.4126	1.0871
21.0000	DB00273	DOID:1826	N,12h<HL<24h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1667	0.0760	0.1648	0.4615	0.1979	0.2488	0.3608	0.3477	0.1597	0.2218	0.1536	0.0955	0.1936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7953	1.2407	0.8428	0.9055	2.8025	0.8153	0.7280	1.0130	0.6143	0.9197	0.7729	0.9355	2.7498
21.0000	DB00273	DOID:9970	N,12h<HL<24h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1667	0.0935	0.1529	0.2136	0.1016	0.2488	0.1565	0.1818	0.1234	0.1007	0.0779	0.0630	0.1936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7953	1.2407	0.8428	0.9055	2.8025	0.8153	0.7280	1.0130	0.6143	0.9197	0.7729	0.9355	2.7498
21.0000	DB00273	DOID:6364	N,12h<HL<24h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1667	0.0760	0.1529	0.2136	0.0655	0.2488	0.1069	0.1811	0.1234	0.1007	0.0401	0.0482	0.1936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5635	0.5922	0.4232	0.6137	0.4330	0.5579	0.7280	0.4528	0.5199	0.4740	0.2790	0.3051	0.7343
21.5000	DB01579	DOID:9970	N,12h<HL<24h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3634	0.4677	0.2731	0.3674	0.1919	0.2703	0.2747	0.3136	0.2529	0.2770	0.2710	0.1888	0.1903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
