year	drug.trtmnt	drug.trtmnt.DrugBankID	roa	class	class.abbrev	halflife.hrs	halflife.hrs.min	therapeutic.area	therapeutic.area.DOID	therapeutic.area.bin	subjects	timepoints	effect	randomized	controlled	notes	reference
1988	terbutaline-sustained release	NA	oral	B-adrenergic agonist	B-agonist			asthma	DOID:2841	asthma	9	2	more eff	yes	yes	Morning low dose + evening high dose vs. b.i.d low dose	R. Dahl, H. Harving, L. Säwedal, S. Anehus, Terbutaline sustained-release tablets in nocturnal asthma—a placebo-controlled comparison between a high and a low evening dose, Br. J. Dis. Chest 82, 237–241 (1988).
1995	bambuterol-sustained release	NA	oral	B-adrenergic agonist	B-agonist			asthma	DOID:2841	asthma	29	2	more eff	yes	yes	Evening dosing resulted in higher 7AM (awakening) FEV1 and PEF (p < 0.03) compared to 10PM. Overall, evening dosing was more advantageous, since it improved FEV1 throughout the 24 h to a greater extent than morning dosing (although in a non-statistically significant way due to small sample size)	D’Alonzo GE., Smolensky MH., Feldman S., et al. Bambuterol in the treatment of asthma. A placebo-controlled comparison of once-daily morning vs evening administration. Chest 1995;107(2):406–12.
2005	tulobuterol	DB12248	transdermal patch	B-adrenergic agonist	B-agonist			asthma	DOID:2841	asthma	13	1	more eff	no	no	Nighttime vs placebo	N. Burioka, M. Miyata, M. Endo, Y. Fukuoka, H. Suyama, H. Nakazaki, K. Igawa, E. Shimizu, Alteration of the circadian rhythm in peak expiratory flow of nocturnal asthma following nighttime transdermal beta2-adrenoceptor agonist tulobuterol chronotherapy, Chronobiol. Int. 22, 383–390 (2005).
1987	theophylline-sustained release	NA	oral	phosphodiesterase inhibitor, adenosine receptor antagonist	PDEinhib	24	24.0	asthma	DOID:2841	asthma	8	3	more eff	yes	yes	Theo-24 dosing at 3PM or 9PM resulted in the best effect on the airways as assessed by the 24-hr mean FEV	Smolensky MH., Scott PH., Harrist RB., et al. Administration-time-dependency of the pharmacokinetic behavior and therapeutic effect of a once-a-day theophylline in asthmatic children. Chronobiol Int 1987;4(3):435–47.
1990	theophylline	DB00277	oral	phosphodiesterase inhibitor, adenosine receptor antagonist	PDEinhib	8	8.0	asthma	DOID:2841	asthma	15	2	more eff	yes	yes	once daily PM vs. twice daily AM & PM 	G. E. D’Alonzo, M. H. Smolensky, S. Feldman, L. A. Gianotti, M. B. Emerson, H. Staudinger, V. W. Steinijans, Twenty-four hour lung function in adult patients with asthma. Chronoptimized theophylline therapy once-daily dosing in the evening versus conventional twice-daily dosing, Am. Rev. Respir. Dis. 142, 84–90 (1990).
1982	epinephrine	DB00668	inh	B-adrenergic agonist	B-agonist	0.03	0.03	asthma	DOID:2841	asthma	5	4	more eff	no	yes	Airway caliber (PEF) of asthma subjects was most improved when epinephrine was infused or inhaled at 4 p.m. as compared to 4 a.m.; however, the magnitude of the increase from the pre-treatment baseline PEF was greater when epinephrine was infused or inhaled at 4 p.m. than 4 a.m	Barnes PJ., Fitzgerald GA., Dollery CT. Circadian variation in adrenergic responses in asthmatic subjects. Clin Sci 1982;62(4):349–54.
1988	orciprenaline	DB00816	inh	B-adrenergic agonist	B-agonist	6	6.0	asthma	DOID:2841	asthma	6	4	more eff	no	yes	Inhaled orciprenaline was most effective around 0730 and to a lesser extent around 2230, whereas there was no detectable effect during the day (1230 and 1630).	Gaultier C., Reinberg A., Motohashi Y. Circadian rhythm in total pulmonary resistance of asthmatic children. Effects of a beta-agonist agent. Chronobiol Int 1988;5(3):285–90.
1992	albuterol-sustained release	NA	oral	B-adrenergic agonist	B-agonist			asthma	DOID:2841	asthma	98	2	more	yes	yes	Morning low dose + evening high dose vs. b.i.d low dose	Storms WW., Nathan RA., Bodman SF., et al. The effect of repeat action albuterol sulfate (Proventil Repetabs) in nocturnal symptoms of asthma. J Asthma 1992;29(3):209–16.
1994	salmeterol	DB00938	inh	B-adrenergic agonist	B-agonist	5.5	5.5	asthma	DOID:2841	asthma	41	2	none	yes	yes	Daytime and nighttime dosing regimens were equally effective in controlling daytime and nighttime BA; moreover, morning and evening PEF values were comparable	Faurschou P., Engel AM., Haanaes OC. Salmeterol in two different doses in the treatment of nocturnal bronchial asthma poorly controlled by other therapies. Allergy 1994;49(10):827–32.
1988	atropine	DB00572	inj	anticholinergic	ACH	3	3.0	asthma	DOID:2841	asthma	10	2	more eff	yes	yes	4AM drug increased PEV more than 4PM drug	Morrison JF., Pearson SB., Dean HG. Parasympathetic nervous system in nocturnal asthma. Br Med J 1988;296(6634):1427–9.
2003	tiotropium	DB01409	oral	anticholinergic	COPD	48	48.0	COPD	DOID:3083	other	121	2	none	yes	yes	9AM vs 9PM	Calverley PMA., Lee A., Towse L., et al. Effect of tiotropium bromide on circadian variation in airflow limitation in chronic obstructive pulmonary disease. Thorax 2003;58(10):855–60.
1995	omeprazole	DB00338	oral	proton pump inhibitor	GERD	0.5	0.5	GERD	DOID:8534	other	17	2	more eff	yes	yes	Evening more effective for evening symptom type; morning more effective for morning symptom type	Hendel J., Hendel L., Aggestrup S. Morning or evening dosage of omeprazole for gastro-oesophageal reflux disease? Aliment Pharmacol Ther 1995;9(6):693–7.
2003	rabeprazole	DB01129	oral	proton pump inhibitor	GERD	1.5	1.5	GERD	DOID:8534	other	20	2	more eff	yes	yes	Evening more effective than morning	Pehlivanov ND., Olyaee M., Sarosiek I., et al. Comparison of morning and evening administration of rabeprazole for gastro-oesophageal reflux and nocturnal gastric acid breakthrough in patients with reflux disease: a double-blind, cross-over study. Aliment Pharmacol Ther 2003;18(9):883–90.
1964	prednisone	DB00635	oral	corticosteroid	CORT	2.5	2.5	Rheumatoid arthritis	DOID:7148	arthritis (RA/OA)	56	2	more eff	yes	yes	Evening more effective	Deandrade JR., Mccormick JN., Hill AG. SMALL DOSES OF PREDNISOLONE IN THE MANAGEMENT OF RHEUMATOID ARTHRITIS. Ann Rheum Dis 1964;23:158–62.
1981	flurbiprofen	DB00712	oral	NSAID	NSAID	5	5.0	Rheumatoid arthritis	DOID:7148	arthritis (RA/OA)	17	3	more eff	yes	yes	Three twice a day regimens tested; the one w/o evening dosing was inferior	Kowanko IC., Pownall R., Knapp MS., et al. Circadian variations in the signs and symptoms of rheumatoid arthritis and in the therapeutic effectiveness of flurbiprofen at different times of day. Br J Clin Pharmacol 1981;11(5):477–84.
1984	prednisone	DB00635	oral	corticosteroid	CORT	2.5	2.5	Rheumatoid arthritis	DOID:7148	arthritis (RA/OA)	41	2	more eff	yes	yes	Evening more effective	De Silva M., Binder A., Hazleman BL. The timing of prednisolone dosage and its effect on morning stiffness in rheumatoid arthritis. Ann Rheum Dis 1984;43(6):790–3.
1997	prednisone	DB00635	oral	corticosteroid	CORT	2.5	2.5	Rheumatoid arthritis	DOID:7148	arthritis (RA/OA)	26	2	more eff	yes	yes	2AM more effective than 7.30AM	Arvidson NG., Gudbjörnsson B., Larsson A., et al. The timing of glucocorticoid administration in rheumatoid arthritis. Ann Rheum Dis 1997;56(1):27–31.
2008	prednisone	DB00635	oral	corticosteroid	CORT	2.5	2.5	Rheumatoid arthritis	DOID:7148	arthritis (RA/OA)	288	2	more eff	yes	yes	10PM evening modified release (4hrs later) vs morning immeidate release	Buttgereit F., Doering G., Schaeffler A., et al. Efficacy of modified-release versus standard prednisone to reduce duration of morning stiffness of the joints in rheumatoid arthritis (CAPRA-1): a double-blind, randomised controlled trial. Lancet 2008;371(9608):205–14.
2011	methotrexate	DB00563	oral	antimetabolite	antimetabolite	6	6.0	Rheumatoid arthritis	DOID:7148	arthritis (RA/OA)	28	2	more eff/better tolerability	yes	yes	Once daily at betime better than standard three times/wk (day 1: after breakfast and supper; day 2: after breakfast schedule)	To H., Yoshimatsu H., Tomonari M., et al. Methotrexate chronotherapy is effective against rheumatoid arthritis. Chronobiol Int 2011;28(3):267–74.
1985	indomethacin	NA	oral	NSAID	NSAID	4.5	4.5	Osteoarthritis	DOID:8398	arthritis (RA/OA)	66	3	more eff/better tolerability	yes	yes	Three dosing time points tested; optimal time  corresponded to type of symptoms (nocturnal vs diurnal)	Levi F., Le Louarn C., Reinberg A. Timing optimizes sustained-release indomethacin treatment of osteoarthritis. Clin Pharmacol Ther 1985;37(1):77–84.
2017	aortic valve replacement	NA	surgical	surgery	surgery			myocardial injury	DOID:5844	myocardial injury	596	2	more eff	yes	yes	AM surgery vs PM surgery	D. Montaigne, X. Marechal, T. Modine, A. Coisne, S. Mouton, G. Fayad, S. Ninni, C. Klein, S. Ortmans, C. Seunes, C. Potelle, A. Berthier, C. Gheeraert, C. Piveteau, R. Deprez, J. Eeckhoute, H. Duez, D. Lacroix, B. Deprez, B. Jegou, M. Koussa, J.-L. Edme, P. Lefebvre, B. Staels, Daytime variation of perioperative myocardial injury in cardiac surgery and its prevention by Rev-Erbα antagonism: a single-centre propensity-matched cohort study and a randomised study, Lancet (2017), doi:10.1016/S0140-6736(17)32132-3.
2018	clopidogrel	DB00758	oral	P2Y12 inhibitor	P2Y12 inhib	8	8.0	myocardial injury	DOID:5844	myocardial injury	21	5	more eff	yes	yes	platelet function assessed at 5 time points 	Gruber SC., Freynhofer MK., Willheim M., et al. Twenty-four-hour time dependency of clopidogrel effects in patients with acute coronary syndromes: The CiCAD-Study. Platelets 2018:1–7.
2011	clopidogrel	DB00758	oral	P2Y12 inhibitor	P2Y12 inhib	8	8.0	myocardial injury	DOID:5844	myocardial injury	59	4	more eff	yes	yes	Platelet inhibition by clopidogrel was lowest in the midmorning: median ADP-induced platelet aggregation was 55%, 17% and 27% higher at 10.00 a.m. compared to 6.00 a.m., 2.00 p.m. and 7.00 p.m., respectively (p < 0.002).	
2016	rivaroxaban	DB06228	oral	factorXa inhib	factorXa inhib	7	7.0	myocardial injury/cardiovascular thromboembolism	DOID:5844	myocardial injury	16	2	more eff	yes	yes	Rivaroxaban concentration higher 12 h after evening intake of rivaroxaban than 12 h after morning intake (53.3 ng mL(-1) [95% confidence interval 46.0-67.8] vs. 23.3 ng mL(-1) [19.4-29.1, respectively]). Rivaroxaban intake in the evening reduced morning F1+2 concentrations better at 8:00 AM than did administration on awakening (85 ± 25 nmol L(-1) vs. 106 ± 34 nmol L(-1) , CI: 9.4-32.1). In addition, this suppression effect was longer lasting after evening intake. Takeaway: evening intake of rivaroxaban leads to prolonged exposure to rivaroxaban concentrations and better matches the morning hypofibrinolysis.	Brunner-Ziegler S., Jilma B., Schörgenhofer C., et al. Comparison between the impact of morning and evening doses of rivaroxaban on the circadian endogenous coagulation rhythm in healthy subjects. J Thromb Haemost 2016;14(2):316–23.
1991	simvastatin	DB00641	oral	statin	statin	3	3.0	hyperlipidemia	DOID:1168	hyperlipidemia	172	2	more eff	yes	yes	PM over AM	Y. Saito, S. Yoshida, N. Nakaya, Y. Hata, Y. Goto, Comparison between morning and evening doses of simvastatin in hyperlipidemic subjects. A double-blind comparative study, Arterioscler. Thromb. 11, 816–826 (1991).
1996	atorvastatin	DB01076	oral	statin	statin	25	25.0	hyperlipidemia	DOID:1168	hyperlipidemia	16	2	none	no	yes		D. D. Cilla Jr, D. M. Gibson, L. R. Whitfield, A. J. Sedman, Pharmacodynamic effects and pharmacokinetics of atorvastatin after administration to normocholesterolemic subjects in the morning and evening, J. Clin. Pharmacol. 36, 604–609 (1996).
2002	simvastatin	DB00641	oral	statin	statin	3	3.0	hyperlipidemia	DOID:1168	hyperlipidemia	25	2	more eff	yes	yes	PM over AM	T. M. Lund, H. Torsvik, D. Falch, B. Christophersen, R. Skårdal, L. Gullestad, Effect of morning versus evening intake of simvastatin on the serum cholesterol level in patients with coronary artery disease, Am. J. Cardiol. 90, 784–786 (2002).
2003	simvastatin	DB00641	oral	statin	statin	3	3.0	hyperlipidemia	DOID:1168	hyperlipidemia	57	2	more eff	yes	yes	PM over AM	A. Wallace, D. Chinn, G. Rubin, Taking simvastatin in the morning compared with in the evening: randomised controlled trial, BMJ 327, 788 (2003).
2005	atorvastatin	DB01076	oral	statin	statin	25	25.0	hyperlipidemia	DOID:1168	hyperlipidemia	64	2	none	no	no		 R. Plakogiannis, H. Cohen, D. Taft, Effects of morning versus evening administration of atorvastatin in patients with hyperlipidemia, Am. J. Health. Syst. Pharm. 62, 2491–2494 (2005).
2006	atorvastatin	DB01076	oral	statin	statin	25	25.0	hyperlipidemia	DOID:1168	hyperlipidemia	125	2	more eff	yes	yes	PM over AM, major cardiac events	M. Ozaydin, O. Dede, A. Dogan, S. M. Aslan, A. Altinbas, M. Ozturk, E. Varol, Y. Turker, Effects of morning versus evening intake of atorvastatin on major cardiac event and restenosis rates in patients undergoing first elective percutaneous coronary intervention, Am. J. Cardiol. 97, 44–47 (2006).
2010	simvastatin	DB00641	oral	statin	statin	3	3.0	hyperlipidemia	DOID:1168	hyperlipidemia	52	2	more eff	yes	yes	PM over AM, inflammatory marker	T. Tharavanij, S. Wongtanakarn, N. Lerdvuthisopon, S. Teeraaunkul, P. Youngsriphithak, P. Sritipsukho, Lipid lowering efficacy between morning and evening simvastatin treatment: a randomized double-blind study, J. Med. Assoc. Thai. 93 Suppl 7, S109–13 (2010).
2011	simvastatin, ezetimibe	DB00641, DB00973	oral	statin	statin	3	3.0	hyperlipidemia	DOID:1168	hyperlipidemia	171	2	none	yes	yes	AM vs PM simvastatin+ezetimibe combo therapy	Yoon HS., Kim SH., Kim JK., et al. Comparison of effects of morning versus evening administration of ezetimibe/simvastatin on serum cholesterol in patients with primary hypercholesterolemia. Ann Pharmacother 2011;45(7-8):841–9.
2013	simvastatin-ER	NA	oral	statin	statin	22	22.0	hyperlipidemia	DOID:1168	hyperlipidemia	132	2	none	yes	yes	AM vs PM	Kim S-H., Kim M-K., Seo H-S., et al. Efficacy and safety of morning versus evening dose of controlled-release simvastatin tablets in patients with hyperlipidemia: a randomized, double-blind, multicenter phase III trial. Clin Ther 2013;35(9):1350–60.e1.
2014	simvastatin-ER	NA	oral	statin	statin	22	22.0	hyperlipidemia	DOID:1168	hyperlipidemia	122	2	none	yes	yes	AM simvastain-CR vs PM simvastatin-IR	Yi YJ., Kim HJ., Jo SK., et al. Comparison of the efficacy and safety profile of morning administration of controlled-release simvastatin versus evening administration of immediate-release simvastatin in chronic kidney disease patients with dyslipidemia. Clin Ther 2014;36(8):1182–90.
