Fat SQ_fdr	Fat Visceral_fdr	Aorta_fdr	Artery Coronary_fdr	Artery Tibial_fdr	Colon_fdr	Esophagus_fdr	Heart Atrial_fdr	Liver_fdr	Lung_fdr	Nerve Tibial_fdr	Pituitary_fdr	Thyroid_fdr	Fat SQ_amp	Fat Visceral_amp	Aorta_amp	Artery Coronary_amp	Artery Tibial_amp	Colon_amp	Esophagus_amp	Heart Atrial_amp	Liver_amp	Lung_amp	Nerve Tibial_amp	Pituitary_amp	Thyroid_amp	Fat SQ_exp	Fat Visceral_exp	Aorta_exp	Artery Coronary_exp	Artery Tibial_exp	Colon_exp	Esophagus_exp	Heart Atrial_exp	Liver_exp	Lung_exp	Nerve Tibial_exp	Pituitary_exp	Thyroid_exp
0.6667	0.8768	0.7551	0.9660	0.4394	0.9919	0.0933	0.8212	0.9260	0.7954	0.5466	0.9760	0.7977	0.0710	0.0681	0.0462	0.0428	0.0904	0.0244	0.1472	0.0872	0.0509	0.0462	0.0504	0.0318	0.0562	143.0500	133.6000	252.2000	193.5000	170.7000	135.0250	115.1800	113.4000	107.3000	161.9000	151.9500	152.5000	177.2000
0.4047	0.8801	0.1162	0.0604	0.7995	0.8150	0.5539	0.4421	0.7452	0.6380	0.1375	0.2070	0.9243	0.1203	0.0459	0.2922	0.3248	0.0910	0.1276	0.1358	0.1965	0.0658	0.2344	0.0239	0.1660	0.1410	14.7750	14.9500	15.1500	16.7600	12.7400	11.0117	11.4083	7.8830	9.1840	15.6500	18.4500	18.8900	18.4300
0.8037	0.8342	0.5128	0.6787	0.3516	0.6857	0.0477	0.6363	0.8556	0.1717	0.6763	0.9075	0.6386	0.0592	0.0221	0.0887	0.0938	0.0647	0.0286	0.0835	0.0667	0.0573	0.1232	0.0343	0.0236	0.0962	23.6100	23.0500	26.6700	26.0600	23.7400	25.6875	27.1817	12.2200	13.9300	27.8600	26.8250	32.0700	31.0050
0.0630	0.0005	0.6572	0.1672	0.4574	0.1213	0.0635	0.0576	0.5630	0.3126	0.1532	0.3216	0.0499	0.2795	0.4254	0.2150	0.3986	0.2249	0.3308	0.3256	0.3444	0.0933	0.3178	0.2417	0.1585	0.4439	5.8405	6.4850	4.3440	5.0220	2.9740	8.3613	6.4913	3.2750	5.9580	5.1350	17.2600	28.5200	10.1000
0.2704	0.0000	0.4393	0.8984	0.6986	0.3300	0.0390	0.0243	0.9497	0.5473	0.1186	0.8701	0.5446	0.2454	0.4420	0.1469	0.2354	0.1280	0.2540	0.2694	0.2842	0.0216	0.1267	0.1637	0.1190	0.1459	37.6400	40.4300	35.7700	38.4400	36.4100	61.7850	66.2383	31.7600	20.7300	51.9800	62.9700	158.9000	53.7200
0.7833	0.2920	0.8272	0.9337	0.9806	0.9714	0.8914	0.3521	0.6723	0.2693	0.5131	0.3842	0.5709	0.0875	0.1794	0.0704	0.0898	0.0851	0.0512	0.0218	0.1106	0.0289	0.1729	0.0401	0.0429	0.0375	12.8800	12.8200	12.9800	14.0100	12.6300	13.6225	19.3417	8.4730	8.7770	16.3200	15.2000	28.3600	16.3700
0.9225	0.0930	0.9650	0.1223	0.9309	0.9698	0.1313	0.8594	0.5178	0.2769	0.4976	0.5231	0.2954	0.0315	0.1771	0.1259	0.2333	0.0568	0.1124	0.1986	0.1351	0.1287	0.0849	0.0085	0.0505	0.1443	49.2000	45.9500	81.5600	68.5100	82.1000	68.5625	65.2633	24.7800	22.4400	57.6400	74.4850	76.8800	83.7200
0.7728	0.0013	0.2743	0.4200	0.9742	0.0302	0.6644	0.6873	0.7735	0.9310	0.9564	0.9437	0.3213	0.0400	0.3196	0.1466	0.1479	0.0383	0.2052	0.0969	0.2607	0.0276	0.0828	0.0601	0.1192	0.1231	26.1400	22.5000	24.2800	24.3400	21.0500	29.1325	34.2567	20.2200	40.8400	24.3000	25.2250	13.8600	28.2150
0.7755	0.2064	0.7471	0.9101	0.8879	0.8656	0.1623	0.8922	0.9648	0.9542	0.5318	0.8849	0.6591	0.0418	0.1718	0.0344	0.0814	0.0740	0.0596	0.1938	0.0665	0.1098	0.0536	0.0283	0.0268	0.1174	59.4150	53.5100	70.7500	66.0100	70.7100	73.0800	82.6917	38.9700	35.7200	72.4100	129.5000	87.0700	86.2450
0.0061	0.0187	0.1111	0.0040	0.9471	0.0012	0.0084	0.7730	0.8442	0.4500	0.1115	0.8405	0.4995	0.4008	0.3510	0.2034	0.2751	0.1252	0.3106	0.4199	0.2370	0.3402	0.1827	0.2088	0.1715	0.1767	238.4000	118.0000	283.8000	210.2000	175.5000	102.6825	68.8250	48.1900	7.4490	121.6000	385.5500	56.2500	150.4500
0.9435	0.5086	0.5987	0.3729	0.3516	0.9102	0.8554	0.4347	0.6401	0.6518	0.0429	0.4998	0.5531	0.0595	0.0168	0.0607	0.1391	0.1395	0.0537	0.0591	0.1402	0.0962	0.1634	0.1216	0.0202	0.0321	79.8050	82.6200	75.7600	79.6400	74.8400	90.2525	84.2350	80.7200	75.2900	74.0600	73.8700	90.9400	96.6350
0.7200	0.0540	0.2140	0.3482	0.8950	0.4493	0.3515	0.5945	0.9482	0.7304	0.6285	0.6052	0.6637	0.0939	0.2041	0.1538	0.2396	0.0847	0.1864	0.2906	0.1671	0.1130	0.1445	0.0876	0.0574	0.2490	178.8000	161.0000	169.2000	170.4000	153.4000	172.6750	169.3000	61.6800	115.9000	197.6000	235.5000	238.6000	309.0500
0.5118	0.1437	0.0110	0.2298	0.1922	0.1785	0.0241	0.8619	0.2010	0.7791	0.0596	0.8655	0.5177	0.1014	0.1773	0.2289	0.1704	0.1538	0.1457	0.0430	0.1948	0.0873	0.1242	0.0764	0.0804	0.1787	13.2450	11.3300	15.2500	15.9500	12.0700	14.7225	14.7900	7.1430	20.1100	16.5000	21.0950	18.5500	24.8100
0.9939	0.9206	0.9787	0.5753	0.2963	0.9214	0.7401	0.2285	0.7442	0.3802	0.6757	0.7256	0.7299	0.0511	0.0551	0.0380	0.0828	0.1347	0.0348	0.0592	0.1879	0.1023	0.1479	0.0721	0.0405	0.0518	70.6950	69.9200	83.8400	83.7300	87.1100	75.1775	75.5050	53.4400	41.4300	71.7200	83.2500	86.8100	90.2500
0.8049	0.9168	0.5796	0.9772	0.9634	0.3232	0.9418	0.9596	0.9070	0.9729	0.4434	0.8882	0.8874	0.1594	0.0418	0.0307	0.3072	0.2369	0.0823	0.1446	0.1625	0.0647	0.2045	0.0886	0.1837	0.0554	25.3600	22.0200	16.2300	25.1000	26.5200	55.5550	60.5633	12.9800	34.6900	22.3000	194.8000	12.3400	54.3350
0.6849	0.2910	0.6331	0.1038	0.6876	0.6094	0.3880	0.8251	0.0479	0.7626	0.6120	0.9412	0.8833	0.1366	0.1555	0.0694	0.3047	0.1043	0.1615	0.2603	0.2822	0.1760	0.1311	0.1130	0.0580	0.1215	21.8850	22.1800	20.1700	21.7400	18.4700	22.7225	21.6267	9.5340	13.8600	30.4100	33.8150	44.7300	39.5800
0.6669	0.4602	0.7240	0.3130	0.7155	0.9052	0.4713	0.6358	0.4101	0.0607	0.0421	0.3189	0.9032	0.1149	0.2339	0.1269	0.2286	0.1976	0.0456	0.0783	0.1439	0.1916	0.3098	0.2492	0.2892	0.0583	15.6700	14.6200	14.8400	15.2400	13.5300	15.0850	18.1350	10.3700	13.0900	18.8500	20.8350	28.8500	21.4800
0.8656	0.7540	0.2991	0.0997	0.0332	0.3385	0.9603	0.6020	0.8479	0.5713	0.1992	0.9016	0.3259	0.0963	0.0163	0.0951	0.1778	0.1415	0.0108	0.0667	0.0935	0.0052	0.0915	0.0980	0.0335	0.0074	116.9500	138.2000	112.1000	130.2000	112.3000	123.7750	126.8000	79.2300	63.3200	147.5000	116.2500	156.4000	188.4000
0.8051	0.0461	0.6327	0.0336	0.7971	0.4058	0.1833	0.5782	0.9764	0.1083	0.7018	0.1306	0.3139	0.1334	0.2728	0.1875	0.3040	0.0782	0.1677	0.2638	0.1751	0.0805	0.1708	0.0776	0.0197	0.2261	23.6050	25.4300	41.8900	36.3500	29.2600	35.7550	34.3383	19.7600	15.6800	38.3000	38.0300	84.5400	56.3700
0.6028	0.8057	0.9661	0.7058	0.4770	0.8265	0.2174	0.3459	0.0408	0.9388	0.9012	0.0274	0.6973	0.0767	0.0688	0.0762	0.1261	0.1276	0.0959	0.1638	0.1408	0.1492	0.0403	0.0446	0.1908	0.1150	24.2800	19.3700	26.5900	23.2600	26.2200	29.0950	26.5400	10.8900	9.3550	31.2800	28.4600	24.0400	29.3000
0.8378	0.0046	0.3594	0.4926	0.8092	0.9032	0.8350	0.1050	0.8643	0.9429	0.6386	0.9578	0.4218	0.0778	0.3600	0.2454	0.2107	0.1011	0.1075	0.1554	0.1944	0.1585	0.1284	0.0619	0.0940	0.2118	21.5450	19.8800	25.4600	23.3300	21.1700	24.6900	21.4133	8.4440	9.8430	25.4400	28.2700	44.3600	35.6850
0.8778	0.9961	0.9548	0.9247	0.8746	0.7478	0.5985	0.9068	0.7087	0.8571	0.9413	0.6733	0.9681	0.0300	0.0526	0.1099	0.1377	0.1001	0.1061	0.1719	0.1223	0.1031	0.1099	0.0351	0.0723	0.1497	27.7000	22.6500	26.4800	23.6300	25.2500	30.7825	25.9617	10.0800	12.5000	37.5000	31.6250	31.6700	35.5550
0.6668	0.1780	0.4136	0.2875	0.9177	0.9498	0.7805	0.2871	0.9385	0.5059	0.6158	0.9300	0.4621	0.0815	0.3221	0.2376	0.2556	0.1013	0.1761	0.1628	0.2906	0.1509	0.2110	0.0501	0.1277	0.1904	3.6180	2.1490	3.7820	3.0930	3.4350	3.7983	3.0602	1.1900	0.9811	3.7690	4.2580	4.9630	5.3715
0.0197	0.4433	0.6360	0.1429	0.0011	0.2567	0.0210	0.9385	0.8762	0.8211	0.0002	0.3326	0.1753	0.2778	0.2046	0.1475	0.1890	0.3715	0.1843	0.1990	0.1295	0.0525	0.1142	0.2515	0.0746	0.1691	54.0200	53.3700	50.0300	53.4700	55.5300	36.9325	36.0100	15.2100	52.0700	53.5600	44.7500	29.3700	43.5900
0.8703	0.7237	0.8618	0.8515	0.5956	0.9651	0.0104	0.7715	0.4839	0.7203	0.7039	0.8541	0.6464	0.0298	0.0712	0.0445	0.0474	0.0214	0.0228	0.1246	0.1400	0.0877	0.0248	0.0307	0.0437	0.0433	230.0000	190.3000	291.6000	252.7000	303.2000	180.2750	174.7000	79.3700	54.0600	250.8000	230.3500	189.6000	178.0000
0.2048	0.3529	0.6317	0.9824	0.9657	0.9269	0.0123	0.4088	0.8913	0.9828	0.7685	0.4367	0.7663	0.2315	0.1878	0.1217	0.0712	0.0656	0.0976	0.2684	0.1750	0.0919	0.1965	0.0735	0.0481	0.1252	1.7590	2.0260	3.6040	2.7470	3.5190	6.2017	4.3177	1.9310	2.3480	16.9100	3.4310	18.4400	14.2100
0.3282	0.1738	0.7881	0.4383	0.8661	0.5221	0.7129	0.3792	0.9688	0.2651	0.5213	0.5276	0.9511	0.1354	0.1517	0.0601	0.0959	0.0358	0.1790	0.2458	0.1880	0.0861	0.0817	0.0308	0.0071	0.0812	10.8900	9.2440	16.1300	13.5700	13.4000	10.3385	10.5940	5.1220	6.0290	11.8300	12.6750	23.7000	17.0800
0.2543	0.8850	0.3207	0.4278	0.1938	0.4284	0.0132	0.0840	0.1112	0.1022	0.0113	0.1726	0.2382	0.2199	0.1030	0.0811	0.1465	0.1279	0.0973	0.2336	0.2373	0.3192	0.1463	0.1244	0.2769	0.1050	73.6250	63.6900	148.5000	103.2000	152.1000	50.9375	64.3717	32.5700	16.2800	73.5000	85.8000	45.0700	60.9100
0.7681	0.9312	0.3588	0.1440	0.4374	0.8762	0.1359	0.8734	0.9836	0.9156	0.5101	0.9207	0.8237	0.0098	0.0725	0.0654	0.0093	0.0690	0.0136	0.0201	0.1033	0.0483	0.0884	0.0088	0.0431	0.0699	58.6450	54.5800	63.9600	64.0800	56.9600	57.7850	61.0217	28.0000	55.6300	64.2900	69.6900	72.1300	76.5350
0.9828	0.2686	0.5623	0.8922	0.8560	0.8562	0.6960	0.4399	0.6639	0.8139	0.9768	0.0540	0.5741	0.0304	0.1340	0.0962	0.0666	0.0444	0.0847	0.0261	0.1491	0.1592	0.0925	0.0536	0.1503	0.1213	16.0600	12.4900	11.1900	12.3100	12.9000	10.1725	11.6900	6.1260	5.9480	10.5000	20.5850	18.4000	16.2550
0.9963	0.0108	0.6260	0.9505	0.7139	0.8809	0.1635	0.1030	0.6461	0.9848	0.0610	0.7560	0.9739	0.0544	0.2077	0.0566	0.0636	0.0079	0.0704	0.1600	0.2105	0.1658	0.0620	0.0237	0.0660	0.0274	15.0000	12.8100	15.2800	15.0500	17.0700	17.1975	17.0867	14.2600	7.3480	19.5300	19.3200	21.8300	21.9500
0.4330	0.0040	0.9111	0.3580	0.9061	0.1626	0.0668	0.3426	0.2739	0.2826	0.0107	0.7702	0.1677	0.1949	0.3817	0.1747	0.2846	0.0398	0.3193	0.3831	0.2881	0.1605	0.1502	0.2061	0.1604	0.2673	94.4000	75.7800	45.0600	64.5600	39.0100	107.4750	58.2867	21.1900	48.4300	159.3000	91.2300	64.2900	102.5500
0.6280	0.0104	0.6097	0.6723	0.4897	0.0633	0.6705	0.0448	0.9743	0.9666	0.9198	0.1618	0.0301	0.1164	0.2897	0.1940	0.1488	0.1220	0.1966	0.0242	0.2849	0.1182	0.0756	0.0285	0.1892	0.2309	14.4350	12.0300	8.5410	10.6900	7.2670	28.3225	15.2817	5.1380	4.6750	24.1100	27.2400	16.5500	17.5450
0.1282	0.7716	0.0432	0.1233	0.2398	0.3417	0.0017	0.8055	0.7343	0.0690	0.8837	0.5422	0.8985	0.4444	0.2604	0.3049	0.2985	0.0927	0.3677	0.4369	0.3008	0.3744	0.3316	0.1624	0.2497	0.1121	29.4050	38.9700	162.0000	104.0000	63.7200	13.6305	13.8117	10.6900	2.9520	43.7000	24.5900	6.9100	23.0450
0.9591	0.0176	0.9663	0.2631	0.3989	0.5213	0.1742	0.0104	0.9771	0.9249	0.5793	0.1352	0.9128	0.0492	0.2153	0.0472	0.1365	0.0828	0.1103	0.1110	0.2388	0.0210	0.0742	0.0471	0.1089	0.0772	91.1700	58.2400	88.2700	81.5200	107.1000	81.9250	80.8833	37.7600	63.0300	67.2700	78.7950	98.1300	71.2950
0.8314	0.0150	0.2322	0.5893	0.4409	0.8938	0.4487	0.2479	0.5828	0.9614	0.8173	0.7125	0.1337	0.0227	0.2243	0.1064	0.0270	0.1045	0.0462	0.1488	0.1963	0.0240	0.0762	0.0189	0.0709	0.1919	22.7050	18.9500	21.9400	22.5800	20.0800	21.3975	21.0317	9.3650	8.7360	26.0800	29.8450	31.4800	29.7300
0.4083	0.0006	0.1519	0.0175	0.2429	0.5843	0.2360	0.1842	0.8022	0.0899	0.2530	0.3194	0.1964	0.1291	0.3159	0.1578	0.2276	0.0974	0.1237	0.3005	0.1849	0.0989	0.1935	0.0961	0.0929	0.2516	17.6250	14.9300	24.8600	20.7500	23.1600	17.5150	17.4190	11.4000	6.3930	17.9800	28.2400	22.4100	29.6700
0.7887	0.6148	0.2044	0.5600	0.7655	0.4098	0.4167	0.0917	0.2705	0.8667	0.8425	0.3135	0.9898	0.0576	0.0559	0.0614	0.0921	0.0582	0.1143	0.0196	0.1869	0.1016	0.0670	0.0162	0.0883	0.0762	50.1000	39.3800	57.1200	54.0400	67.5000	53.1025	57.6567	33.4100	29.9800	47.0900	61.6050	56.6600	59.4400
0.5905	0.5896	0.4013	0.4641	0.8854	0.2501	0.6979	0.6936	0.9501	0.9043	0.9291	0.8249	0.5957	0.0681	0.1423	0.0838	0.1100	0.0710	0.1465	0.1260	0.1259	0.0445	0.0717	0.0391	0.0664	0.0821	11.2000	10.2400	14.2400	14.6900	20.1100	11.1672	13.7107	4.9870	5.8670	11.5700	15.6500	14.5100	13.8000
0.6432	0.0110	0.0318	0.2097	0.6290	0.5306	0.3505	0.1626	0.3260	0.8646	0.9104	0.4547	0.0476	0.1348	0.3543	0.2625	0.1490	0.1433	0.1591	0.1813	0.3142	0.0520	0.1648	0.0548	0.1972	0.3592	5.4380	4.7580	5.5550	5.5790	4.4060	6.3912	4.6412	2.6460	3.3250	6.4340	9.3250	12.8800	8.4815
0.4334	0.0129	0.0877	0.0740	0.5892	0.9863	0.6169	0.6196	0.9604	0.7020	0.0813	0.5478	0.8268	0.1021	0.2385	0.1493	0.0632	0.0432	0.0386	0.0816	0.1350	0.0866	0.1058	0.1552	0.0712	0.0859	20.2350	16.9000	17.5300	19.5100	17.8300	19.4675	20.0983	7.4530	12.0600	22.1900	22.2200	16.0200	29.6850
0.6944	0.8390	0.2164	0.4775	0.5267	0.9060	0.0297	0.8425	0.6031	0.9575	0.7915	0.5593	0.4192	0.0935	0.1614	0.0168	0.1775	0.0756	0.0407	0.2213	0.2260	0.0452	0.0729	0.0440	0.1417	0.0950	7.8900	8.1250	5.9000	6.5670	5.7440	5.3500	5.2060	2.8220	1.6540	10.0200	13.3950	21.7400	21.3850
0.9319	0.4919	0.7522	0.2929	0.8067	0.2411	0.7829	0.7650	0.5981	0.4789	0.5660	0.8384	0.2414	0.1326	0.0539	0.2135	0.6273	0.2270	0.1281	0.2747	0.1484	0.1759	0.1628	0.0938	0.0915	0.2770	9.8865	8.2770	7.3600	7.5400	3.6640	6.3827	5.7200	4.2950	2.6700	30.4200	8.4970	16.2700	5.6925
0.8870	0.1716	0.1437	0.0364	0.9757	0.9653	0.9072	0.2773	0.5928	0.6025	0.5972	0.2928	0.0641	0.0520	0.1689	0.1096	0.1652	0.0622	0.0817	0.0803	0.1595	0.1006	0.0919	0.0088	0.1456	0.2323	226.2000	204.9000	223.7000	226.3000	282.7000	193.9000	195.5333	74.5700	53.3400	167.2000	226.9500	128.1000	199.0500
0.9877	0.0001	0.4853	0.0137	0.9389	0.3455	0.9693	0.0100	0.8397	0.3538	0.0317	0.0827	0.4378	0.1711	0.4895	0.2900	0.3665	0.0959	0.3445	0.1381	0.4452	0.1604	0.2009	0.2849	0.2042	0.2263	4.7870	8.7860	10.5400	10.8400	5.6380	14.4475	14.0850	29.1100	8.5960	6.3620	12.6350	20.9300	28.7550
0.9447	0.3206	0.2168	0.4192	0.9655	0.3098	0.1714	0.9104	0.8400	0.9647	0.9820	0.5470	0.3214	0.0600	0.0906	0.1093	0.1689	0.0275	0.1729	0.1348	0.1153	0.0725	0.0981	0.0613	0.1120	0.0727	39.6100	35.4900	57.0300	53.0000	53.3800	36.6075	38.8200	24.7100	10.8400	33.1400	38.1200	47.0300	38.8750
0.5321	0.9412	0.5729	0.4867	0.6104	0.6926	0.2007	0.9048	0.4390	0.8548	0.7520	0.4435	0.0212	0.3058	0.1326	0.2647	0.2290	0.3028	0.2303	0.2915	0.1855	0.6731	0.1157	0.0405	0.1598	0.4414	21.3850	20.8400	3.1790	6.9000	3.4550	15.1450	10.4077	7.9330	2.4550	20.3200	24.2350	23.4100	4.3385
0.9857	0.7368	0.6928	0.9660	0.7020	0.9298	0.9530	0.7371	0.6454	0.7146	0.0009	0.6621	0.4383	0.0699	0.0483	0.1317	0.1598	0.1160	0.0540	0.0954	0.0314	0.2122	0.1052	0.2289	0.1600	0.2242	8.5400	6.7080	20.4500	15.1300	15.8200	19.4850	16.5500	4.0070	6.0050	14.9000	18.1550	55.7900	5.4300
0.2733	0.0006	0.5018	0.5305	0.8965	0.2395	0.5867	0.4607	0.4499	0.4530	0.5683	0.9187	0.4097	0.4060	0.5797	0.3337	0.4058	0.2553	0.4449	0.2127	0.2390	0.1343	0.3007	0.2204	0.1463	0.4269	15.2750	18.0200	12.6700	11.9300	3.3510	16.3265	19.1253	5.9530	2.9720	13.8800	56.8000	127.6000	16.3800
0.0069	0.0003	0.1186	0.0473	0.9951	0.0152	0.2362	0.1324	0.6011	0.4550	0.0572	0.0570	0.0394	0.4863	0.5267	0.3241	0.4387	0.2729	0.3443	0.1996	0.2410	0.2515	0.2357	0.2726	0.2218	0.3183	18.6050	17.8600	15.3400	12.4500	4.4870	10.7700	18.4233	7.4520	1.2600	11.3000	49.4300	83.4000	14.8250
0.7798	0.1553	0.4890	0.9878	0.1563	0.4360	0.2340	0.5887	0.7677	0.9534	0.4861	0.7863	0.4399	0.0692	0.0182	0.1376	0.0647	0.1668	0.0483	0.1014	0.1267	0.1306	0.0587	0.0725	0.0990	0.1402	8.2585	7.0120	7.2510	7.6660	7.2980	8.6683	8.6982	3.3560	4.1410	8.3400	11.2950	8.9340	9.1130
0.8468	0.0068	0.0817	0.2239	0.9898	0.7295	0.0094	0.6064	0.1991	0.1362	0.8483	0.9875	0.1839	0.0702	0.2874	0.1945	0.2413	0.0486	0.1478	0.3078	0.2116	0.1379	0.1168	0.0538	0.0549	0.1334	22.8650	17.7900	24.9400	23.2700	25.7600	21.9625	19.8117	9.2420	22.7800	30.1400	38.9000	36.3300	43.6100
0.8298	0.2367	0.8572	0.2792	0.1497	0.7910	0.0643	0.4300	0.0003	0.5342	0.9316	0.8899	0.9916	0.0371	0.1929	0.0840	0.0581	0.2875	0.1783	0.3023	0.2626	0.3464	0.1302	0.0484	0.1388	0.1815	34.3550	27.2700	75.1700	56.3400	74.2300	40.0600	54.1367	33.7900	10.4300	24.8500	43.5450	42.3700	30.0300
0.9596	0.4115	0.0073	0.0275	0.9715	0.6370	0.0047	0.0004	0.0460	0.8139	0.2366	0.0217	0.2655	0.0723	0.1323	0.2171	0.2121	0.0480	0.1127	0.3495	0.3514	0.2289	0.1373	0.0390	0.2284	0.3255	21.6850	20.3800	30.6000	24.1700	37.9600	23.5200	25.2900	7.8680	6.0650	19.2300	25.7200	20.3700	20.2600
0.9386	0.0042	0.5336	0.0365	0.9102	0.2189	0.2007	0.0353	0.7338	0.5653	0.7038	0.8668	0.4188	0.0620	0.3010	0.1370	0.1481	0.0493	0.1532	0.2402	0.2452	0.1160	0.0854	0.0164	0.0514	0.2090	15.3200	13.1500	17.7400	16.6800	18.4100	13.4722	13.6047	6.1940	6.3830	13.0000	20.3400	15.7100	19.5100
0.7564	0.8730	0.3772	0.8909	0.9309	0.5701	0.6367	0.5146	0.7971	0.9447	0.7967	0.6248	0.7031	0.0201	0.0214	0.1016	0.0414	0.0264	0.0907	0.1551	0.1638	0.1076	0.0733	0.0120	0.0834	0.0153	17.0150	14.7800	15.1500	15.8800	16.7300	20.5475	18.2600	14.7800	9.6820	18.0100	22.0450	14.3400	19.3150
0.7259	0.7264	0.8015	0.7058	0.8541	0.7592	0.1173	0.0222	0.6354	0.5988	0.9393	0.7098	0.2782	0.0179	0.1066	0.0584	0.0485	0.1050	0.1055	0.2085	0.2399	0.1068	0.0836	0.0296	0.0124	0.1283	5.9320	5.3110	12.8300	11.4700	13.7200	8.2455	8.0288	6.3300	2.8680	7.9090	9.1260	12.2900	8.1155
