cumulative_attempts	attempts	complete	unchanged	same_edge	self_loop	duplicate	undirected_duplicate	excluded	metaedge	abbrev	permutation
755	756	0.10013	0.28477	0.0013228	0	0.20503	0.0013228	0	Compound - treats - Disease	CtD	126
1510	755	0.20013	0.13775	0.0013245	0	0.20795	0.0013245	0	Compound - treats - Disease	CtD	126
2265	755	0.30013	0.096689	0.002649	0	0.19735	0.0013245	0	Compound - treats - Disease	CtD	126
3020	755	0.40013	0.098013	0.0013245	0.0013245	0.1947	0	0	Compound - treats - Disease	CtD	126
3775	755	0.50013	0.12715	0	0	0.19735	0.002649	0	Compound - treats - Disease	CtD	126
4530	755	0.60013	0.10728	0	0.0013245	0.21722	0.0013245	0	Compound - treats - Disease	CtD	126
5285	755	0.70013	0.10199	0.002649	0.002649	0.22649	0.0013245	0	Compound - treats - Disease	CtD	126
6040	755	0.80013	0.10596	0.0013245	0	0.19868	0	0	Compound - treats - Disease	CtD	126
6795	755	0.90013	0.11523	0.0013245	0.0039735	0.18013	0	0	Compound - treats - Disease	CtD	126
7549	754	1	0.10861	0.0013263	0	0.19496	0	0	Compound - treats - Disease	CtD	126
11571	11572	0.10001	0.2514	0	0.00043208	0.20247	0.0019011	0	Compound - binds - Gene	CbG	126
23142	11571	0.20001	0.12549	0	0.0010371	0.20914	0.0018149	0	Compound - binds - Gene	CbG	126
34713	11571	0.30001	0.10336	0.00017285	0.00077781	0.21027	0.00095065	0	Compound - binds - Gene	CbG	126
46284	11571	0.40001	0.10086	8.6423e-05	0.00069138	0.21744	0.0019877	0	Compound - binds - Gene	CbG	126
57855	11571	0.50001	0.098004	8.6423e-05	0.00069138	0.20776	0.0019013	0	Compound - binds - Gene	CbG	126
69426	11571	0.60001	0.10103	8.6423e-05	0.00069138	0.21537	0.0014692	0	Compound - binds - Gene	CbG	126
80997	11571	0.70001	0.10025	8.6423e-05	0.0011235	0.20128	0.0019877	0	Compound - binds - Gene	CbG	126
92568	11571	0.80001	0.10094	0.00017285	0.00051854	0.20465	0.0014692	0	Compound - binds - Gene	CbG	126
104139	11571	0.90001	0.097744	8.6423e-05	0.00043211	0.20828	0.0015556	0	Compound - binds - Gene	CbG	126
115709	11570	1	0.10232	0	0.00069144	0.20908	0.0011236	0	Compound - binds - Gene	CbG	126
21102	21103	0.1	0.34077	0	0.00018955	0.33976	0	0	Compound - downregulates - Gene	CdG	126
42204	21102	0.2	0.20752	4.7389e-05	9.4778e-05	0.34954	9.4778e-05	0	Compound - downregulates - Gene	CdG	126
63306	21102	0.3	0.17885	0	9.4778e-05	0.35911	0.00018956	0	Compound - downregulates - Gene	CdG	126
84408	21102	0.4	0.16937	9.4778e-05	0.00018956	0.34954	0.00028433	0	Compound - downregulates - Gene	CdG	126
105510	21102	0.5	0.16638	0	0.00018956	0.34712	0.00014217	0	Compound - downregulates - Gene	CdG	126
126612	21102	0.6	0.17136	4.7389e-05	9.4778e-05	0.35134	0.00014217	0	Compound - downregulates - Gene	CdG	126
147714	21102	0.7	0.16837	9.4778e-05	9.4778e-05	0.36016	4.7389e-05	0	Compound - downregulates - Gene	CdG	126
168816	21102	0.8	0.17174	0	4.7389e-05	0.34864	4.7389e-05	0	Compound - downregulates - Gene	CdG	126
189918	21102	0.9	0.16823	4.7389e-05	9.4778e-05	0.35674	9.4778e-05	0	Compound - downregulates - Gene	CdG	126
211019	21101	1	0.16847	4.7391e-05	0.00018956	0.35264	0	0	Compound - downregulates - Gene	CdG	126
18756	18757	0.10001	0.295	0	0.00021325	0.2679	0.00015994	0	Compound - upregulates - Gene	CuG	126
37512	18756	0.20001	0.16645	5.3316e-05	0.00015995	0.29228	0.00026658	0	Compound - upregulates - Gene	CuG	126
56268	18756	0.30001	0.13953	0	0.00042653	0.29441	0.00015995	0	Compound - upregulates - Gene	CuG	126
75024	18756	0.40001	0.13638	0.00010663	0.00010663	0.29148	0.00053316	0	Compound - upregulates - Gene	CuG	126
93780	18756	0.50001	0.13265	5.3316e-05	0.00015995	0.29356	0.0003199	0	Compound - upregulates - Gene	CuG	126
112536	18756	0.60001	0.13414	0	5.3316e-05	0.29596	0.00010663	0	Compound - upregulates - Gene	CuG	126
131292	18756	0.70001	0.13521	5.3316e-05	0.00010663	0.29223	0.00037321	0	Compound - upregulates - Gene	CuG	126
150048	18756	0.80001	0.13558	5.3316e-05	0.00047985	0.29505	0.00021327	0	Compound - upregulates - Gene	CuG	126
168804	18756	0.90001	0.13452	5.3316e-05	0.00015995	0.29868	0.00053316	0	Compound - upregulates - Gene	CuG	126
187559	18755	1	0.13489	0	0.00010664	0.28627	0.00031991	0	Compound - upregulates - Gene	CuG	126
138944	138945	0.1	0.55373	7.1971e-06	0.0004894	0.60114	0.016201	0	Compound - causes - Side Effect	CcSE	126
277888	138944	0.2	0.41363	0	0.00048941	0.59671	0.016647	0	Compound - causes - Side Effect	CcSE	126
416832	138944	0.3	0.36831	0	0.00065494	0.59662	0.017424	0	Compound - causes - Side Effect	CcSE	126
555776	138944	0.4	0.35287	2.1591e-05	0.00052539	0.59561	0.017331	0	Compound - causes - Side Effect	CcSE	126
694720	138944	0.5	0.34509	7.1971e-06	0.00056138	0.59629	0.018101	0	Compound - causes - Side Effect	CcSE	126
833664	138944	0.6	0.34325	7.1971e-06	0.00053259	0.59515	0.017316	0	Compound - causes - Side Effect	CcSE	126
972608	138944	0.7	0.34221	0	0.00051819	0.59432	0.017763	0	Compound - causes - Side Effect	CcSE	126
1111552	138944	0.8	0.34197	1.4394e-05	0.00071252	0.59654	0.017791	0	Compound - causes - Side Effect	CcSE	126
1250496	138944	0.9	0.34094	7.1971e-06	0.000511	0.59459	0.017863	0	Compound - causes - Side Effect	CcSE	126
1389439	138943	1	0.34046	1.4394e-05	0.00061176	0.59266	0.017345	0	Compound - causes - Side Effect	CcSE	126
3602	3603	0.10003	0.3065	0.00027755	0.0069387	0.22703	0.045518	0	Disease - localizes - Anatomy	DlA	126
7204	3602	0.20003	0.16935	0.00083287	0.0052748	0.2407	0.046918	0	Disease - localizes - Anatomy	DlA	126
10806	3602	0.30003	0.14908	0.00027762	0.004442	0.2407	0.043309	0	Disease - localizes - Anatomy	DlA	126
14408	3602	0.40003	0.1427	0.00055525	0.0058301	0.25069	0.04442	0	Disease - localizes - Anatomy	DlA	126
18010	3602	0.50003	0.13409	0	0.0036091	0.24653	0.039423	0	Disease - localizes - Anatomy	DlA	126
21612	3602	0.60003	0.12493	0.00083287	0.0049972	0.24153	0.039423	0	Disease - localizes - Anatomy	DlA	126
25214	3602	0.70003	0.13021	0.00027762	0.0061077	0.24847	0.044142	0	Disease - localizes - Anatomy	DlA	126
28816	3602	0.80003	0.13298	0	0.0036091	0.24653	0.045808	0	Disease - localizes - Anatomy	DlA	126
32418	3602	0.90003	0.13853	0.00027762	0.004442	0.2121	0.048029	0	Disease - localizes - Anatomy	DlA	126
36019	3601	1	0.12937	0	0.0063871	0.23632	0.045821	0	Disease - localizes - Anatomy	DlA	126
1086	1087	0.10009	0.3453	0.00091996	0.014719	0.25207	0.14167	0	Disease - resembles - Disease	DrD	126
2172	1086	0.20009	0.21087	0.0027624	0.015654	0.2477	0.2256	0	Disease - resembles - Disease	DrD	126
3258	1086	0.30009	0.1639	0	0.019337	0.22007	0.25599	0	Disease - resembles - Disease	DrD	126
4344	1086	0.40009	0.16667	0.0018416	0.029466	0.24586	0.26703	0	Disease - resembles - Disease	DrD	126
5430	1086	0.50009	0.16298	0	0.024862	0.25783	0.24954	0	Disease - resembles - Disease	DrD	126
6516	1086	0.60009	0.17311	0.0018416	0.020258	0.23849	0.25691	0	Disease - resembles - Disease	DrD	126
7602	1086	0.70009	0.17219	0.00092081	0.021179	0.23941	0.27072	0	Disease - resembles - Disease	DrD	126
8688	1086	0.80009	0.14917	0.00092081	0.025783	0.23481	0.28361	0	Disease - resembles - Disease	DrD	126
9774	1086	0.90009	0.17772	0	0.02302	0.24401	0.2523	0	Disease - resembles - Disease	DrD	126
10859	1085	1	0.17772	0.00092166	0.021198	0.25806	0.25899	0	Disease - resembles - Disease	DrD	126
12623	12624	0.10001	0.26737	7.9214e-05	0.00015843	0.21285	0.0005545	0	Disease - associates - Gene	DaG	126
25246	12623	0.20001	0.13982	0	0.00015844	0.20803	0.0003961	0	Disease - associates - Gene	DaG	126
37869	12623	0.30001	0.11764	0.00015844	0.00031688	0.20653	0.0007922	0	Disease - associates - Gene	DaG	126
50492	12623	0.40001	0.11297	0.00015844	7.922e-05	0.20811	0.00031688	0	Disease - associates - Gene	DaG	126
63115	12623	0.50001	0.11202	0	0.00023766	0.20597	0.00063376	0	Disease - associates - Gene	DaG	126
75738	12623	0.60001	0.11249	7.922e-05	0.00031688	0.21231	0.00047532	0	Disease - associates - Gene	DaG	126
88361	12623	0.70001	0.11115	0.00015844	0.00031688	0.21643	0.0003961	0	Disease - associates - Gene	DaG	126
100984	12623	0.80001	0.10932	7.922e-05	0.00055454	0.21017	0.00031688	0	Disease - associates - Gene	DaG	126
113607	12623	0.90001	0.10647	0	0.00031688	0.21081	0.00071298	0	Disease - associates - Gene	DaG	126
126229	12622	1	0.11154	0.00015845	0.00015845	0.21003	0.00071304	0	Disease - associates - Gene	DaG	126
7623	7624	0.10001	0.18287	0	0	0.072665	0.00013116	0	Disease - downregulates - Gene	DdG	126
15246	7623	0.20001	0.069002	0.00039355	0	0.069395	0	0	Disease - downregulates - Gene	DdG	126
22869	7623	0.30001	0.054834	0	0	0.068083	0	0	Disease - downregulates - Gene	DdG	126
30492	7623	0.40001	0.051686	0.00013118	0.00026236	0.073987	0	0	Disease - downregulates - Gene	DdG	126
38115	7623	0.50001	0.05549	0.00026236	0.00026236	0.07543	0	0	Disease - downregulates - Gene	DdG	126
45738	7623	0.60001	0.048931	0.00039355	0.00026236	0.071494	0.00013118	0	Disease - downregulates - Gene	DdG	126
53361	7623	0.70001	0.053653	0.00026236	0.00026236	0.071757	0	0	Disease - downregulates - Gene	DdG	126
60984	7623	0.80001	0.051948	0.00013118	0	0.066116	0	0	Disease - downregulates - Gene	DdG	126
68607	7623	0.90001	0.047094	0	0	0.064804	0.00026236	0	Disease - downregulates - Gene	DdG	126
76229	7622	1	0.050374	0.0002624	0.0001312	0.072291	0.0001312	0	Disease - downregulates - Gene	DdG	126
7731	7732	0.10001	0.1873	0.00012933	0	0.075142	0	0	Disease - upregulates - Gene	DuG	126
15462	7731	0.20001	0.074764	0	0.00012935	0.076316	0.0002587	0	Disease - upregulates - Gene	DuG	126
23193	7731	0.30001	0.063252	0	0.00012935	0.073858	0	0	Disease - upregulates - Gene	DuG	126
30924	7731	0.40001	0.056526	0.00012935	0.00012935	0.076963	0.0002587	0	Disease - upregulates - Gene	DuG	126
38655	7731	0.50001	0.052386	0.00012935	0.0002587	0.087699	0	0	Disease - upregulates - Gene	DuG	126
46386	7731	0.60001	0.054197	0.00038805	0	0.076445	0	0	Disease - upregulates - Gene	DuG	126
54117	7731	0.70001	0.055491	0.0002587	0	0.07347	0.00012935	0	Disease - upregulates - Gene	DuG	126
61848	7731	0.80001	0.057819	0	0.0002587	0.079421	0.00012935	0	Disease - upregulates - Gene	DuG	126
69579	7731	0.90001	0.054973	0.0002587	0	0.079421	0.00012935	0	Disease - upregulates - Gene	DuG	126
77309	7730	1	0.058078	0.00012937	0.00025873	0.07555	0	0	Disease - upregulates - Gene	DuG	126
3357	3358	0.10003	0.33214	0.00059559	0.0047647	0.28499	0.042287	0	Disease - presents - Symptom	DpS	126
6714	3357	0.20003	0.19035	0.00059577	0.0044683	0.28686	0.053024	0	Disease - presents - Symptom	DpS	126
10071	3357	0.30003	0.17426	0.00059577	0.0044683	0.29252	0.055704	0	Disease - presents - Symptom	DpS	126
13428	3357	0.40003	0.16473	0.00029789	0.005064	0.29431	0.047959	0	Disease - presents - Symptom	DpS	126
16785	3357	0.50003	0.16145	0	0.0044683	0.29163	0.048853	0	Disease - presents - Symptom	DpS	126
20142	3357	0.60003	0.1686	0.00059577	0.0059577	0.30146	0.051236	0	Disease - presents - Symptom	DpS	126
23499	3357	0.70003	0.15877	0.00029789	0.0086387	0.29342	0.054513	0	Disease - presents - Symptom	DpS	126
26856	3357	0.80003	0.16294	0	0.0041704	0.30325	0.050938	0	Disease - presents - Symptom	DpS	126
30213	3357	0.90003	0.1695	0.00059577	0.0053619	0.30891	0.053024	0	Disease - presents - Symptom	DpS	126
33569	3356	1	0.1689	0.00029797	0.0050656	0.30364	0.048868	0	Disease - presents - Symptom	DpS	126
559504	559505	0.1	0.20279	1.7873e-06	0.00015192	0.11364	0.0067828	0	Gene - participates - Biological Process	GpBP	126
1119008	559504	0.2	0.078864	0	0.00015728	0.11516	0.0068793	0	Gene - participates - Biological Process	GpBP	126
1678512	559504	0.3	0.059796	0	0.0001412	0.1156	0.0068507	0	Gene - participates - Biological Process	GpBP	126
2238016	559504	0.4	0.056223	3.5746e-06	0.00016801	0.11589	0.0065683	0	Gene - participates - Biological Process	GpBP	126
2797520	559504	0.5	0.055975	0	0.00012869	0.11526	0.0068078	0	Gene - participates - Biological Process	GpBP	126
3357024	559504	0.6	0.055987	1.7873e-06	0.00013762	0.11484	0.0066487	0	Gene - participates - Biological Process	GpBP	126
3916528	559504	0.7	0.056244	1.7873e-06	0.00015371	0.11551	0.0067899	0	Gene - participates - Biological Process	GpBP	126
4476032	559504	0.8	0.056325	1.7873e-06	0.00017337	0.11554	0.0068453	0	Gene - participates - Biological Process	GpBP	126
5035536	559504	0.9	0.056257	1.7873e-06	0.00014298	0.11555	0.0067864	0	Gene - participates - Biological Process	GpBP	126
5595039	559503	1	0.055942	0	0.00015013	0.1156	0.0067524	0	Gene - participates - Biological Process	GpBP	126
73566	73567	0.1	0.1994	1.3593e-05	0.0002039	0.1118	0.0011826	0	Gene - participates - Cellular Component	GpCC	126
147132	73566	0.2	0.079833	1.3593e-05	0.00017671	0.1103	0.0014681	0	Gene - participates - Cellular Component	GpCC	126
220698	73566	0.3	0.061292	0	0.0002039	0.11125	0.0013321	0	Gene - participates - Cellular Component	GpCC	126
294264	73566	0.4	0.0586	1.3593e-05	0.00025827	0.11065	0.0011826	0	Gene - participates - Cellular Component	GpCC	126
367830	73566	0.5	0.058315	0	0.00025827	0.11274	0.0013729	0	Gene - participates - Cellular Component	GpCC	126
441396	73566	0.6	0.057459	0	0.0002039	0.11379	0.0012098	0	Gene - participates - Cellular Component	GpCC	126
514962	73566	0.7	0.056344	4.078e-05	0.0002039	0.11322	0.0013321	0	Gene - participates - Cellular Component	GpCC	126
588528	73566	0.8	0.059144	0	0.00013593	0.1118	0.0011962	0	Gene - participates - Cellular Component	GpCC	126
662094	73566	0.9	0.057812	2.7186e-05	0.0002039	0.11308	0.0013729	0	Gene - participates - Cellular Component	GpCC	126
735659	73565	1	0.057228	2.7187e-05	0.00010875	0.11504	0.0015225	0	Gene - participates - Cellular Component	GpCC	126
123380	123381	0.1	0.17698	1.621e-05	0.00094828	0.057926	0.03802	0	Gene - covaries - Gene	GcG	126
246760	123380	0.2	0.054109	0	0.00078619	0.051888	0.051945	0	Gene - covaries - Gene	GcG	126
370140	123380	0.3	0.035192	8.105e-06	0.00095639	0.051102	0.052602	0	Gene - covaries - Gene	GcG	126
493520	123380	0.4	0.033044	1.621e-05	0.00091587	0.051524	0.051816	0	Gene - covaries - Gene	GcG	126
616900	123380	0.5	0.032039	0	0.00089966	0.050819	0.051783	0	Gene - covaries - Gene	GcG	126
740280	123380	0.6	0.031974	0	0.00095639	0.05043	0.052196	0	Gene - covaries - Gene	GcG	126
863660	123380	0.7	0.03195	0	0.001078	0.051467	0.051467	0	Gene - covaries - Gene	GcG	126
987040	123380	0.8	0.032185	1.621e-05	0.0010537	0.050819	0.051921	0	Gene - covaries - Gene	GcG	126
1110420	123380	0.9	0.032185	0	0.00099692	0.051508	0.052691	0	Gene - covaries - Gene	GcG	126
1233799	123379	1	0.032209	3.242e-05	0.00098882	0.051273	0.051719	0	Gene - covaries - Gene	GcG	126
294328	294329	0.1	0.25301	0	0.0025278	0.16556	0.069521	0	Gene - interacts - Gene	GiG	126
588656	294328	0.2	0.11767	3.3976e-06	0.00247	0.16111	0.10363	0	Gene - interacts - Gene	GiG	126
882984	294328	0.3	0.090491	0	0.0025414	0.15719	0.10936	0	Gene - interacts - Gene	GiG	126
1177312	294328	0.4	0.084178	0	0.002521	0.1549	0.11142	0	Gene - interacts - Gene	GiG	126
1471640	294328	0.5	0.08217	3.3976e-06	0.0025856	0.15454	0.11282	0	Gene - interacts - Gene	GiG	126
1765968	294328	0.6	0.081076	3.3976e-06	0.0025788	0.15238	0.11511	0	Gene - interacts - Gene	GiG	126
2060296	294328	0.7	0.080495	0	0.0025889	0.15101	0.11527	0	Gene - interacts - Gene	GiG	126
2354624	294328	0.8	0.079748	6.7951e-06	0.0023817	0.15113	0.11595	0	Gene - interacts - Gene	GiG	126
2648952	294328	0.9	0.079772	0	0.002487	0.15059	0.11759	0	Gene - interacts - Gene	GiG	126
2943279	294327	1	0.079146	0	0.0024225	0.15036	0.11804	0	Gene - interacts - Gene	GiG	126
265672	265673	0.1	0.25806	0	0.00049685	0.20955	0	0	Gene > regulates > Gene	Gr>G	126
531344	265672	0.2	0.13089	3.764e-06	0.00046674	0.21879	0	0	Gene > regulates > Gene	Gr>G	126
797016	265672	0.3	0.10869	3.764e-06	0.00043663	0.21965	0	0	Gene > regulates > Gene	Gr>G	126
1062688	265672	0.4	0.10454	0	0.00043663	0.21911	0	0	Gene > regulates > Gene	Gr>G	126
1328360	265672	0.5	0.10355	0	0.00045168	0.2192	0	0	Gene > regulates > Gene	Gr>G	126
1594032	265672	0.6	0.10348	0	0.0004818	0.22042	0	0	Gene > regulates > Gene	Gr>G	126
1859704	265672	0.7	0.10357	0	0.00040275	0.22014	0	0	Gene > regulates > Gene	Gr>G	126
2125376	265672	0.8	0.10363	3.764e-06	0.00044416	0.21932	0	0	Gene > regulates > Gene	Gr>G	126
2391048	265672	0.9	0.10348	0	0.00039146	0.21891	0	0	Gene > regulates > Gene	Gr>G	126
2656719	265671	1	0.10436	3.7641e-06	0.00036135	0.2211	0	0	Gene > regulates > Gene	Gr>G	126
97222	97223	0.1	0.18153	2.0571e-05	0.00010286	0.079086	0.0015428	0	Gene - participates - Molecular Function	GpMF	126
194444	97222	0.2	0.062537	1.0286e-05	0.00011314	0.080116	0.0017074	0	Gene - participates - Molecular Function	GpMF	126
291666	97222	0.3	0.045463	0	0.000216	0.080486	0.001512	0	Gene - participates - Molecular Function	GpMF	126
388888	97222	0.4	0.043097	0	0.000144	0.078058	0.0013371	0	Gene - participates - Molecular Function	GpMF	126
486110	97222	0.5	0.041359	0	0.000216	0.078912	0.0013886	0	Gene - participates - Molecular Function	GpMF	126
583332	97222	0.6	0.042192	0	7.2e-05	0.080712	0.0011829	0	Gene - participates - Molecular Function	GpMF	126
680554	97222	0.7	0.04211	1.0286e-05	0.00022629	0.080167	0.0014297	0	Gene - participates - Molecular Function	GpMF	126
777776	97222	0.8	0.043416	0	0.000144	0.080722	0.0013989	0	Gene - participates - Molecular Function	GpMF	126
874998	97222	0.9	0.044116	0	0.00017486	0.079992	0.0014091	0	Gene - participates - Molecular Function	GpMF	126
972219	97221	1	0.043478	1.0286e-05	0.00017486	0.080476	0.001368	0	Gene - participates - Molecular Function	GpMF	126
84372	84373	0.1	0.22013	2.3704e-05	0.00033186	0.1491	0.0022282	0	Gene - participates - Pathway	GpPW	126
168744	84372	0.2	0.093645	1.1852e-05	0.00022519	0.15491	0.0020623	0	Gene - participates - Pathway	GpPW	126
253116	84372	0.3	0.072406	0	0.0002489	0.15229	0.0024297	0	Gene - participates - Pathway	GpPW	126
337488	84372	0.4	0.067594	1.1852e-05	0.00015408	0.15358	0.0024416	0	Gene - participates - Pathway	GpPW	126
421860	84372	0.5	0.068305	0	0.00022519	0.15195	0.0021216	0	Gene - participates - Pathway	GpPW	126
506232	84372	0.6	0.068399	0	0.00018964	0.15298	0.0023705	0	Gene - participates - Pathway	GpPW	126
590604	84372	0.7	0.069478	1.1852e-05	0.0002726	0.15157	0.002169	0	Gene - participates - Pathway	GpPW	126
674976	84372	0.8	0.068625	0	0.00018964	0.15343	0.0019556	0	Gene - participates - Pathway	GpPW	126
759348	84372	0.9	0.068814	0	0.00030816	0.15453	0.0023705	0	Gene - participates - Pathway	GpPW	126
843719	84371	1	0.069727	3.5557e-05	0.0002489	0.15274	0.0022875	0	Gene - participates - Pathway	GpPW	126
1029	1030	0.1001	0.15452	0.0019417	0.00097087	0.017476	0.00097087	0	Pharmacologic Class - includes - Compound	PCiC	126
2058	1029	0.2001	0.029155	0.0019436	0.0019436	0.015549	0	0	Pharmacologic Class - includes - Compound	PCiC	126
3087	1029	0.3001	0.01069	0	0.00097182	0.020408	0	0	Pharmacologic Class - includes - Compound	PCiC	126
4116	1029	0.4001	0.0087464	0.0019436	0.0029155	0.020408	0	0	Pharmacologic Class - includes - Compound	PCiC	126
5145	1029	0.5001	0.012634	0.00097182	0.0019436	0.018465	0.00097182	0	Pharmacologic Class - includes - Compound	PCiC	126
6174	1029	0.6001	0.012634	0.0019436	0.00097182	0.017493	0.0029155	0	Pharmacologic Class - includes - Compound	PCiC	126
7203	1029	0.7001	0.0068027	0.00097182	0.00097182	0.02138	0.0019436	0	Pharmacologic Class - includes - Compound	PCiC	126
8232	1029	0.8001	0.015549	0	0.00097182	0.030126	0	0	Pharmacologic Class - includes - Compound	PCiC	126
9261	1029	0.9001	0.013605	0.00097182	0.00097182	0.025267	0.00097182	0	Pharmacologic Class - includes - Compound	PCiC	126
10289	1028	1	0.013605	0.0019455	0.00097276	0.019455	0.0019455	0	Pharmacologic Class - includes - Compound	PCiC	126
102240	102241	0.1	0.51674	0	0.00011737	0.56001	0.00043036	0	Anatomy - downregulates - Gene	AdG	127
204480	102240	0.2	0.38852	9.7809e-06	8.8028e-05	0.56035	0.00051839	0	Anatomy - downregulates - Gene	AdG	127
